accel_x,accel_y,accel_z
5.06474,5.158,6.477988
5.050392,5.172348,6.492336
5.093435,5.150826,6.37038
5.093435,5.107783,6.427772
5.136478,5.100609,6.413424
5.129304,5.172348,6.413424
5.100609,5.179521,6.413424
5.043218,5.165174,6.456467
5.100609,5.208217,6.449293
5.12213,5.150826,6.413424
5.186695,5.165174,6.427772
5.093435,5.136478,6.391902
5.136478,5.136478,6.449293
5.06474,5.186695,6.442119
5.114956,5.114956,6.463641
5.100609,5.193869,6.356033
5.06474,5.129304,6.377554
5.093435,5.114956,6.399076
5.071913,5.143652,6.434945
5.036044,5.079087,6.320164
5.050392,5.201043,6.363207
5.071913,5.150826,6.427772
5.093435,5.186695,6.420598
5.057566,5.100609,6.442119
5.093435,5.150826,6.40625
5.129304,5.179521,6.485162
5.186695,5.150826,6.434945
5.107783,5.172348,6.463641
5.06474,5.208217,6.391902
5.165174,5.186695,6.449293
5.107783,5.229738,6.449293
5.071913,5.215391,6.420598
5.100609,5.172348,6.427772
5.06474,5.136478,6.427772
5.12213,5.172348,6.449293
5.06474,5.107783,6.40625
5.071913,5.172348,6.37038
5.093435,5.107783,6.434945
5.093435,5.143652,6.40625
5.050392,5.186695,6.377554
5.014523,5.165174,6.399076
5.093435,5.208217,6.549727
5.107783,5.236912,6.449293
5.129304,5.215391,6.420598
5.100609,5.208217,6.413424
5.071913,5.236912,6.363207
5.079087,5.222564,6.40625
5.114956,5.129304,6.391902
5.086261,5.129304,6.413424
5.086261,5.236912,6.470815
5.129304,5.186695,6.391902
5.129304,5.143652,6.442119
5.100609,5.158,6.384728
5.172348,5.179521,6.449293
5.129304,5.143652,6.434945
5.114956,5.172348,6.442119
5.06474,5.193869,6.463641
5.079087,5.158,6.434945
5.150826,5.143652,6.470815
5.143652,5.158,6.463641
5.186695,5.201043,6.456467
5.093435,5.100609,6.427772
5.136478,5.165174,6.463641
5.093435,5.172348,6.456467
5.12213,5.158,6.40625
5.036044,5.172348,6.420598
5.071913,5.193869,6.40625
5.165174,5.107783,6.420598
5.114956,5.150826,6.477988
5.129304,5.201043,6.420598
5.050392,5.165174,6.413424
5.06474,5.287129,6.506684
5.043218,5.179521,6.492336
5.050392,5.158,6.470815
5.036044,5.158,6.427772
5.071913,5.222564,6.399076
5.06474,5.229738,6.413424
5.129304,5.236912,6.377554
5.12213,5.25126,6.37038
5.057566,5.186695,6.37038
5.093435,5.172348,6.399076
5.107783,5.179521,6.384728
5.150826,5.158,6.40625
5.12213,5.215391,6.434945
5.12213,5.208217,6.348859
5.12213,5.258433,6.356033
5.208217,5.158,6.492336
5.079087,5.158,6.485162
5.057566,5.150826,6.463641
5.136478,5.136478,6.456467
5.100609,5.129304,6.384728
5.093435,5.201043,6.420598
5.02887,5.129304,6.420598
5.043218,5.114956,6.341685
5.06474,5.143652,6.485162
5.071913,5.107783,6.463641
5.050392,5.193869,6.327338
5.136478,5.158,6.420598
5.107783,5.143652,6.40625
5.158,5.143652,6.434945
5.158,5.136478,6.40625
5.057566,5.172348,6.37038
5.129304,5.172348,6.442119
5.093435,5.236912,6.348859
5.100609,5.215391,6.463641
5.100609,5.201043,6.434945
5.107783,5.129304,6.449293
5.007349,5.236912,6.420598
5.043218,5.172348,6.427772
5.114956,5.172348,6.456467
5.036044,5.158,6.427772
5.057566,5.186695,6.420598
5.079087,5.136478,6.492336
5.079087,5.107783,6.513858
5.021697,5.06474,6.456467
4.993001,5.143652,6.470815
5.107783,5.158,6.442119
5.050392,5.201043,6.37038
5.093435,5.150826,6.341685
5.036044,5.100609,6.40625
5.050392,5.165174,6.485162
5.079087,5.114956,6.485162
5.107783,5.172348,6.485162
5.06474,5.114956,6.420598
5.129304,5.215391,6.470815
5.079087,5.229738,6.363207
5.100609,5.258433,6.399076
5.158,5.143652,6.40625
5.114956,5.236912,6.413424
5.158,5.179521,6.420598
5.093435,5.150826,6.470815
5.021697,5.172348,6.442119
5.100609,5.179521,6.434945
5.093435,5.172348,6.449293
5.165174,5.158,6.477988
5.129304,5.193869,6.442119
5.071913,5.193869,6.40625
5.071913,5.236912,6.420598
5.057566,5.229738,6.434945
5.06474,5.179521,6.470815
5.086261,5.172348,6.485162
5.107783,5.193869,6.420598
5.136478,5.158,6.391902
5.114956,5.136478,6.470815
5.114956,5.107783,6.492336
5.100609,5.208217,6.420598
5.050392,5.136478,6.420598
5.050392,5.158,6.449293
5.093435,5.136478,6.427772
5.100609,5.143652,6.427772
5.100609,5.158,6.470815
5.02887,5.158,6.427772
5.043218,5.172348,6.40625
5.021697,5.143652,6.420598
5.136478,5.208217,6.399076
5.086261,5.136478,6.384728
5.079087,5.158,6.456467
5.043218,5.193869,6.399076
5.086261,5.193869,6.427772
5.071913,5.244086,6.449293
5.12213,5.136478,6.391902
5.129304,5.086261,6.356033
5.057566,5.172348,6.434945
5.014523,5.179521,6.442119
5.129304,5.222564,6.356033
5.057566,5.179521,6.485162
5.12213,5.201043,6.485162
5.06474,5.136478,6.456467
5.050392,5.186695,6.420598
5.086261,5.179521,6.341685
4.985827,5.208217,6.37038
5.036044,5.222564,6.456467
5.114956,5.150826,6.40625
5.136478,5.186695,6.420598
5.071913,5.129304,6.40625
5.071913,5.12213,6.320164
5.093435,5.186695,6.442119
5.150826,5.158,6.384728
5.129304,5.114956,6.40625
5.107783,5.150826,6.420598
5.150826,5.201043,6.399076
5.107783,5.165174,6.442119
5.107783,5.172348,6.399076
5.057566,5.165174,6.427772
5.107783,5.12213,6.442119
5.114956,5.12213,6.348859
5.071913,5.172348,6.40625
5.036044,5.193869,6.334511
5.050392,5.143652,6.40625
5.107783,5.150826,6.377554
5.071913,5.222564,6.356033
5.222564,5.193869,6.449293
5.043218,5.129304,6.399076
5.086261,5.093435,6.40625
5.057566,5.165174,6.434945
5.086261,5.158,6.40625
5.100609,5.186695,6.40625
5.136478,5.229738,6.427772
5.086261,5.136478,6.442119
5.06474,5.12213,6.420598
5.014523,5.136478,6.449293
5.129304,5.179521,6.463641
5.100609,5.129304,6.477988
5.043218,5.129304,6.449293
