I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22
71.556236,-31.690166,38.818363,-0.683060,-0.409916,0.022020,-0.604081,49.875000,37.000000,0.001022,5.064740,5.158000,6.477988,0.015979,0.001065,0.000000,565.050110,5.050392,5.215391,-3.402798,0.010698,0.000828,-0.000648
71.555962,-31.690638,38.818653,-0.683059,-0.409919,0.022022,-0.604080,49.875000,14.000000,0.000730,5.050392,5.172348,6.492336,0.011718,-0.019175,0.008522,565.051025,5.050392,5.172348,-3.302363,0.006437,-0.019412,0.007875
71.556175,-31.690374,38.818012,-0.683061,-0.409914,0.022023,-0.604081,49.875000,37.000000,0.000474,5.093435,5.150826,6.370380,0.005326,0.002131,0.000000,565.052002,5.086261,5.158000,-3.316711,0.000045,0.001893,-0.000648
71.556229,-31.690344,38.818287,-0.683060,-0.409916,0.022021,-0.604081,49.875000,13.000000,0.000293,5.093435,5.107783,6.427772,0.008522,0.004261,0.001065,565.052979,5.093435,5.107783,-3.366928,0.003241,0.004024,0.000418
71.556358,-31.689596,38.818157,-0.683062,-0.409912,0.022016,-0.604081,49.875000,13.000000,0.000457,5.136478,5.100609,6.413424,0.001065,0.002131,0.000000,565.054016,5.136478,5.100609,-3.381276,-0.004216,0.001893,-0.000648
71.556160,-31.690254,38.818123,-0.683061,-0.409914,0.022022,-0.604080,49.875000,36.000000,0.000744,5.129304,5.172348,6.413424,0.006392,-0.002131,-0.006392,565.055054,5.150826,5.165174,-3.381276,0.001111,-0.002368,-0.007039
71.556068,-31.690363,38.818539,-0.683059,-0.409917,0.022021,-0.604080,49.875000,13.000000,0.000068,5.100609,5.179521,6.413424,0.012783,-0.003196,0.003196,565.055969,5.100609,5.179521,-3.381276,0.007502,-0.003433,0.002548
71.555740,-31.690357,38.819088,-0.683059,-0.409921,0.022019,-0.604078,49.875000,12.000000,0.000068,5.043218,5.165174,6.456467,0.005326,-0.001065,-0.007457,565.057007,5.107783,5.208217,-3.438667,0.000045,-0.001302,-0.008104
71.555954,-31.689434,38.818115,-0.683065,-0.409911,0.022017,-0.604078,49.875000,13.000000,0.000725,5.100609,5.208217,6.449293,-0.015979,0.000000,0.001065,565.057983,5.100609,5.208217,-3.345407,-0.021260,-0.000237,0.000418
71.557007,-31.690344,38.815739,-0.683064,-0.409901,0.022032,-0.604085,49.875000,13.000000,0.002074,5.122130,5.150826,6.413424,-0.006392,0.001065,-0.005326,565.059021,5.122130,5.150826,-3.381276,-0.011673,0.000828,-0.005974
