I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22
168.104568,48.828377,-99.660759,0.253277,0.337285,0.664437,-0.616939,50.500000,12.000000,0.063174,-7.711891,-5.760603,2.223894,0.026632,-0.006392,-0.005326,1106.564941,-7.711891,-5.760603,-7.570806,0.021351,-0.006629,-0.005974
168.104736,48.827423,-99.659508,0.253268,0.337282,0.664434,-0.616947,50.500000,12.000000,0.063174,-7.711891,-5.760603,2.223894,0.008522,-0.003196,-0.015979,1106.566040,-7.711891,-5.760603,-7.570806,0.003241,-0.003433,-0.016627
168.105118,48.826988,-99.659737,0.253268,0.337277,0.664438,-0.616946,50.500000,12.000000,0.063174,-7.711891,-5.760603,2.223894,-0.017044,-0.010653,0.014914,1106.567017,-7.711891,-5.760603,-7.570806,-0.022325,-0.010890,0.014266
168.105499,48.827469,-99.660118,0.253274,0.337276,0.664439,-0.616942,50.500000,12.000000,0.063174,-7.711891,-5.760603,2.223894,0.014914,0.001065,0.003196,1106.568115,-7.711891,-5.760603,-7.570806,0.009633,0.000828,0.002548
168.105087,48.827381,-99.659721,0.253270,0.337279,0.664436,-0.616945,50.500000,12.000000,0.063174,-7.711891,-5.760603,2.223894,0.015979,0.007457,0.003196,1106.568970,-7.711891,-5.760603,-7.570806,0.010698,0.007220,0.002548
168.104599,48.827641,-99.659691,0.253269,0.337283,0.664434,-0.616946,50.500000,13.000000,0.063174,-7.711891,-5.760603,2.223894,0.004261,0.000000,0.013848,1106.569946,-7.711891,-5.760603,-7.570806,-0.001020,-0.000237,0.013201
168.104523,48.828522,-99.660126,0.253276,0.337287,0.664433,-0.616942,50.500000,12.000000,0.063174,-7.711891,-5.760603,2.223894,-0.006392,0.001065,0.007457,1106.571045,-7.711891,-5.760603,-7.570806,-0.011673,0.000828,0.006809
168.103577,48.828617,-99.661003,0.253274,0.337291,0.664435,-0.616939,50.500000,12.000000,0.063174,-7.711891,-5.760603,2.223894,0.009587,0.021305,-0.003196,1106.572021,-7.711891,-5.760603,-7.570806,0.004306,0.021068,-0.003843
168.102509,48.828156,-99.661667,0.253267,0.337294,0.664437,-0.616938,50.500000,12.000000,0.063174,-7.711891,-5.760603,2.223894,0.004261,0.000000,-0.006392,1106.572998,-7.711891,-5.760603,-7.570806,-0.001020,-0.000237,-0.007039
168.102753,48.828087,-99.661606,0.253268,0.337292,0.664437,-0.616938,50.500000,12.000000,0.063174,-7.711891,-5.760603,2.223894,0.004261,-0.001065,0.008522,1106.573975,-7.711891,-5.760603,-7.570806,-0.001020,-0.001302,0.007875
168.102692,48.828377,-99.661705,0.253269,0.337294,0.664437,-0.616937,50.500000,17.000000,0.063174,-7.711891,-5.760603,2.223894,0.021305,0.011718,-0.010653,1106.574951,-7.711891,-5.760603,-7.570806,0.000045,0.000828,0.003614
