I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22
26.716738,43.343754,107.542824,-0.603198,-0.678938,-0.385548,0.162939,50.125000,17.000000,0.001720,-6.729073,6.764943,-2.051722,-0.002131,-0.003196,0.006392,1008.241028,-0.781906,1.923425,1.478311,0.006871,-0.000789,0.004692
26.717216,43.342865,107.543556,-0.603195,-0.678943,-0.385546,0.162933,50.125000,16.000000,0.000727,-6.764943,6.836681,-2.223894,0.005326,-0.006392,-0.005326,1008.242065,-0.800729,2.057304,1.524966,0.000586,-0.007077,-0.001868
26.716959,43.343220,107.543533,-0.603194,-0.678943,-0.385546,0.162937,50.125000,17.000000,0.000018,-6.736247,6.815159,-2.159329,0.000000,-0.012783,-0.005326,1008.242981,-0.779539,2.012271,1.502300,-0.000469,0.004304,-0.005044
26.715614,43.343643,107.542099,-0.603201,-0.678938,-0.385541,0.162942,50.125000,12.000000,0.000549,-6.729073,6.772116,-2.094765,0.002131,-0.015979,0.006392,1008.244019,-0.786053,1.956588,1.479459,-0.010210,-0.009017,-0.006636
26.714539,43.344780,107.541206,-0.603204,-0.678933,-0.385541,0.162952,50.125000,12.000000,0.003153,-6.707551,6.815159,-2.123460,0.013848,-0.007457,-0.010653,1008.244995,-0.854192,1.914192,1.499502,-0.000128,0.008451,-0.009329
26.714090,43.344807,107.540749,-0.603206,-0.678932,-0.385539,0.162953,50.125000,13.000000,0.000094,-6.664508,6.743421,-2.109113,0.003196,-0.001065,0.001065,1008.246033,-0.757419,1.976406,1.429095,-0.002166,-0.001153,0.000432
26.715984,43.344124,107.542740,-0.603197,-0.678938,-0.385545,0.162945,50.125000,32.000000,0.005416,-6.736247,6.779290,-2.317154,0.001065,0.004261,0.001065,1008.246948,-0.828970,2.118281,1.473386,-0.000770,-0.000360,0.004400
26.715841,43.343887,107.542427,-0.603199,-0.678938,-0.385543,0.162943,50.125000,13.000000,0.000403,-6.772116,6.843855,-2.116286,0.010653,0.004261,0.008522,1008.247986,-0.781727,1.979317,1.539167,0.007631,-0.003369,-0.000204
26.716772,43.342381,107.543915,-0.603192,-0.678948,-0.385541,0.162933,50.125000,12.000000,0.001510,-6.671682,6.829507,-2.202373,0.013848,0.002131,0.001065,1008.249023,-0.732590,2.063270,1.473222,0.007385,0.002325,-0.003490
26.716751,43.342499,107.544601,-0.603188,-0.678952,-0.385540,0.162936,50.125000,13.000000,0.001555,-6.779290,6.822333,-2.144982,0.017044,-0.011718,-0.009587,1008.250061,-0.736414,2.068439,1.488046,0.000045,0.007418,-0.013225
26.716272,43.343475,107.544846,-0.603185,-0.678951,-0.385541,0.162946,50.125000,13.000000,0.000127,-6.800812,6.815159,-2.116286,0.012783,-0.006392,-0.004261,1008.250977,-0.818516,1.964732,1.539120,0.000884,0.003802,-0.007803
26.714809,43.345181,107.542870,-0.603194,-0.678939,-0.385542,0.162959,50.125000,37.000000,0.002717,-6.757769,6.822333,-2.130634,-0.007457,-0.010653,-0.004261,1008.252014,-0.849988,1.922919,1.522023,-0.016259,-0.002354,0.000615
26.714527,43.346249,107.542030,-0.603199,-0.678932,-0.385546,0.162965,50.125000,12.000000,0.000123,-6.721900,6.757769,-2.137808,0.002131,-0.006392,-0.019175,1008.252991,-0.796538,1.986521,1.465346,-0.009694,0.011965,-0.003096
26.714716,43.346397,107.542137,-0.603198,-0.678931,-0.385547,0.162965,50.125000,13.000000,0.000066,-6.707551,6.764943,-2.123460,0.006392,0.001065,0.006392,1008.254028,-0.779371,1.981496,1.462483,0.002348,-0.003690,0.000210
26.714521,43.345959,107.542030,-0.603199,-0.678933,-0.385545,0.162963,50.125000,13.000000,0.000067,-6.599944,6.843855,-2.209546,0.006392,-0.005326,-0.001065,1008.255066,-0.732027,2.036069,1.486740,-0.002594,0.000136,-0.003661
26.715208,43.343639,107.544167,-0.603188,-0.678950,-0.385536,0.162951,50.125000,12.000000,0.004550,-6.700378,6.901246,-2.101939,0.026632,0.005326,-0.003196,1008.255981,-0.694774,2.001170,1.532866,0.017692,0.009437,-0.008799
26.714911,43.344078,107.543976,-0.603188,-0.678949,-0.385536,0.162955,50.125000,37.000000,0.000208,-6.800812,6.865376,-2.216720,-0.006392,-0.003196,0.003196,1008.257019,-0.785969,1.974027,1.482047,-0.009949,-0.005647,0.004491
26.714252,43.343601,107.543106,-0.603193,-0.678948,-0.385532,0.162952,50.125000,13.000000,0.000379,-6.786464,6.894072,-2.123460,-0.004261,-0.010653,0.020240,1008.257996,-0.765712,1.993462,1.573143,-0.009328,-0.019364,0.000437
26.712862,43.342968,107.541573,-0.603200,-0.678947,-0.385523,0.162950,50.125000,13.000000,0.000962,-6.714725,6.851029,-2.188025,0.006392,0.000000,0.009587,1008.259033,-0.749432,2.047774,1.508237,0.002357,-0.006280,-0.000162
26.714680,43.341934,107.543587,-0.603191,-0.678955,-0.385527,0.162940,50.125000,37.000000,0.000263,-6.714725,6.843855,-2.152156,0.009587,0.014914,-0.004261,1008.260071,-0.757534,2.024673,1.471485,0.021541,0.009482,0.008958
26.715212,43.341564,107.543938,-0.603190,-0.678957,-0.385528,0.162936,50.125000,12.000000,0.000398,-6.721900,6.843855,-2.195199,0.000000,0.001065,0.003196,1008.260986,-0.760051,2.048964,1.507862,-0.002920,-0.002975,0.003389
26.715193,43.341103,107.544189,-0.603189,-0.678960,-0.385526,0.162934,50.125000,36.000000,0.001338,-6.721900,6.800812,-2.166503,0.007457,-0.010653,0.002131,1008.262024,-0.772351,2.064441,1.464149,-0.004168,-0.003248,-0.006870
