I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22
29.967329,44.229454,177.635422,-0.115777,-0.892734,-0.246976,0.358643,50.000000,12.000000,0.000260,-6.908420,0.322823,-7.166678,0.019175,-0.002131,-0.008522,477.957001,0.403695,0.931294,1.658961,0.012776,0.002111,-0.005361
29.968302,44.229443,177.636871,-0.115769,-0.892733,-0.246979,0.358645,50.000000,13.000000,0.000793,-6.908420,0.315649,-7.173852,0.017044,-0.011718,-0.018109,477.958008,0.404030,0.934131,1.659395,0.011897,0.009158,-0.003884
29.970238,44.229607,177.639404,-0.115755,-0.892731,-0.246986,0.358650,50.000000,12.000000,0.001593,-6.972984,0.208042,-7.152330,0.009587,0.011718,-0.007457,477.959015,0.311624,0.932038,1.683996,0.009987,0.004936,-0.004112
29.970707,44.228802,177.639862,-0.115751,-0.892733,-0.246989,0.358644,50.000000,13.000000,0.000154,-7.059071,0.308476,-7.094940,0.007457,0.014914,-0.013848,477.960022,0.334127,0.908426,1.683635,0.011110,-0.002157,-0.000131
29.971493,44.229599,177.640228,-0.115753,-0.892729,-0.246993,0.358650,50.000000,13.000000,0.001546,-6.965810,0.337171,-7.044723,0.006392,0.002131,-0.009587,477.960999,0.320204,0.886286,1.674626,0.008736,0.004019,0.000432
29.971659,44.230190,177.640427,-0.115753,-0.892727,-0.246993,0.358655,50.000000,33.000000,0.001142,-7.037549,0.322823,-7.123635,0.010653,0.005326,0.010653,477.962006,0.289915,0.891593,1.712125,0.005036,-0.001448,-0.002007
29.970352,44.230145,177.639862,-0.115753,-0.892730,-0.246985,0.358655,50.000000,13.000000,0.000034,-6.987332,0.301302,-7.188200,0.002131,-0.003196,0.012783,477.963013,0.344724,0.922071,1.694852,-0.004801,-0.002287,-0.005177
29.969244,44.229912,177.638885,-0.115757,-0.892732,-0.246979,0.358652,50.000000,13.000000,0.000191,-6.965810,0.322823,-7.166678,0.003196,0.005326,-0.004261,477.963989,0.360236,0.918192,1.684102,-0.001109,-0.002575,-0.001129
29.969114,44.229492,177.638702,-0.115757,-0.892733,-0.246979,0.358648,50.000000,14.000000,0.001332,-7.008853,0.329997,-7.173852,0.014914,-0.007457,0.001065,477.964996,0.404576,0.923792,1.670207,0.007192,0.003684,-0.003432
29.968397,44.229801,177.638351,-0.115758,-0.892734,-0.246975,0.358651,50.000000,13.000000,0.000434,-6.994506,0.337171,-7.152330,0.011718,0.010653,0.007457,477.966003,0.337821,0.905899,1.695828,0.006914,0.000650,-0.003891
