I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22
-154.395416,42.754791,-4.140782,-0.219049,-0.347761,-0.113523,0.904540,50.000000,12.000000,0.000741,-6.671682,-0.538039,7.159504,0.013848,0.004261,-0.005326,281.476990,-0.224258,0.743809,-0.037371,0.004114,-0.000064,-0.008199
-154.396149,42.755123,-4.141206,-0.219044,-0.347764,-0.113525,0.904540,50.000000,12.000000,0.000332,-6.657335,-0.552387,7.152330,0.002131,-0.004261,-0.009587,281.478027,-0.231581,0.750430,-0.008381,0.001385,0.002087,-0.007665
-154.396194,42.754791,-4.141602,-0.219045,-0.347761,-0.113528,0.904540,50.000000,36.000000,0.000214,-6.678856,-0.538039,7.166678,-0.008522,-0.007457,-0.006392,281.479004,-0.235875,0.752106,0.010978,-0.003737,0.002373,0.002899
-154.397049,42.754898,-4.143147,-0.219043,-0.347759,-0.113537,0.904540,50.000000,13.000000,0.002085,-6.671682,-0.602604,7.123635,0.005326,0.007457,-0.006392,281.480042,-0.237555,0.755039,-0.026991,0.003779,0.001666,-0.006301
-154.398224,42.756550,-4.144205,-0.219036,-0.347771,-0.113545,0.904536,50.000000,18.000000,0.001152,-6.678856,-0.566734,7.123635,0.019175,0.017044,-0.001065,281.480988,-0.230179,0.758153,-0.025399,0.006475,0.002000,-0.008176
-154.398483,42.757069,-4.143590,-0.219032,-0.347777,-0.113540,0.904536,50.000000,17.000000,0.000237,-6.621466,-0.523691,7.145157,0.011718,-0.004261,0.007457,281.482025,-0.209652,0.744481,-0.057747,0.003957,-0.003042,-0.005406
-154.397873,42.756756,-4.142941,-0.219035,-0.347775,-0.113536,0.904536,50.000000,17.000000,0.000519,-6.642987,-0.473474,7.188200,-0.005326,0.001065,0.002131,281.483002,-0.220804,0.746098,0.015774,-0.001813,0.000572,0.002254
-154.397186,42.757065,-4.142311,-0.219039,-0.347778,-0.113534,0.904534,50.000000,36.000000,0.000778,-6.635813,-0.459127,7.145157,0.003196,-0.005326,-0.010653,281.484009,-0.203687,0.753503,-0.024294,0.000514,-0.000145,-0.000068
-154.397385,42.756336,-4.142534,-0.219038,-0.347772,-0.113534,0.904537,50.000000,17.000000,0.000707,-6.571249,-0.466300,7.130809,-0.008522,-0.011718,-0.006392,281.484985,-0.190546,0.745402,-0.058580,-0.003001,0.001726,-0.000676
-154.397034,42.755894,-4.142673,-0.219041,-0.347768,-0.113535,0.904537,50.000000,17.000000,0.000214,-6.607118,-0.494996,7.159504,0.003196,-0.010653,0.002131,281.486023,-0.211666,0.744361,-0.020772,-0.006512,-0.000708,0.007903
