I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22
10.497616,-89.531029,-142.030014,-0.290927,0.647604,0.289551,0.641975,48.000000,13.000000,0.001965,9.777961,-0.064565,0.035869,0.005326,0.014914,0.021305,193.924026,0.530156,-1.797199,0.351532,0.013208,0.009898,0.009535
10.403378,-89.531448,-141.935684,-0.290929,0.647599,0.289546,0.641980,48.000000,17.000000,0.000810,9.734918,0.007174,-0.086086,-0.006392,0.010653,-0.006392,193.925018,0.495370,-1.838071,0.271868,0.003897,0.004424,-0.000350
10.450861,-89.531860,-141.984024,-0.290923,0.647600,0.289545,0.641983,48.000000,36.000000,0.001085,9.806656,-0.100434,-0.114782,-0.009587,-0.005326,-0.005326,193.926041,0.475850,-1.861462,0.297215,-0.008658,-0.004435,-0.010893
10.523531,-89.531448,-142.057480,-0.290917,0.647607,0.289544,0.641979,48.000000,16.000000,0.000102,9.792308,-0.050217,-0.086086,0.000000,-0.019175,0.007457,193.927017,0.499380,-1.844315,0.302769,-0.009941,-0.000537,-0.001169
10.556121,-89.529778,-142.089951,-0.290917,0.647614,0.289544,0.641972,48.000000,16.000000,0.000151,9.864047,-0.050217,-0.035869,0.009587,0.005326,-0.002131,193.928024,0.550977,-1.824110,0.364412,0.004053,0.005229,0.011051
10.555142,-89.530197,-142.088257,-0.290918,0.647609,0.289547,0.641975,48.000000,17.000000,0.000009,9.835351,-0.043043,-0.064565,0.010653,0.017044,-0.002131,193.929016,0.530152,-1.834844,0.335751,0.004672,-0.001838,-0.000911
10.388303,-89.530197,-141.921722,-0.290928,0.647608,0.289539,0.641975,48.000000,16.000000,0.000083,9.899916,-0.050217,-0.043043,0.005326,0.009587,0.025566,193.930069,0.565305,-1.827063,0.380153,0.011265,0.006374,0.007305
10.250554,-89.529366,-141.784073,-0.290937,0.647614,0.289531,0.641968,48.000000,36.000000,0.001055,9.842525,-0.007174,-0.121955,0.004261,0.006392,0.015979,193.931046,0.527723,-1.853873,0.312939,0.015927,0.013448,0.016184
10.141815,-89.528946,-141.674469,-0.290943,0.647612,0.289527,0.641969,48.000000,17.000000,0.000078,9.835351,-0.035869,-0.050217,0.012783,0.009587,-0.011718,193.932037,0.538308,-1.828446,0.342301,0.012368,0.006447,0.010082
10.261717,-89.530609,-141.794662,-0.290938,0.647605,0.289537,0.641975,48.000000,17.000000,0.002223,9.792308,0.050217,-0.050217,0.002131,-0.011718,-0.029827,193.933029,0.552382,-1.818893,0.319021,-0.001254,-0.006195,-0.004259
10.481194,-89.531029,-142.013916,-0.290926,0.647606,0.289548,0.641974,48.000000,13.000000,0.000496,9.763613,-0.007174,-0.086086,0.009587,-0.020240,-0.014914,193.934006,0.503186,-1.839568,0.287349,-0.011677,-0.008504,-0.004838
10.602901,-89.530609,-142.135101,-0.290925,0.647607,0.289558,0.641970,48.000000,13.000000,0.000369,9.763613,-0.014348,-0.086086,0.023436,0.008522,0.008522,193.935013,0.500329,-1.840326,0.287436,0.014636,0.004088,0.013317
10.563757,-89.529366,-142.095016,-0.290930,0.647607,0.289558,0.641966,48.000000,12.000000,0.001984,9.799482,-0.129129,-0.057391,0.018109,0.008522,0.009587,193.936005,0.485066,-1.875856,0.281728,0.012510,0.004510,0.010964
10.461145,-89.528526,-141.992050,-0.290938,0.647612,0.289552,0.641961,48.000000,12.000000,0.000580,9.763613,-0.100434,-0.057391,0.001065,-0.009587,-0.002131,193.937012,0.476223,-1.838472,0.300989,-0.006895,-0.002210,-0.003510
10.354896,-89.528946,-141.887039,-0.290941,0.647613,0.289544,0.641962,48.000000,33.000000,0.000444,9.828177,-0.093260,-0.050217,-0.001065,0.008522,0.005326,193.938004,0.512004,-1.834781,0.338742,0.001987,0.002790,-0.001250
10.250470,-89.529366,-141.782639,-0.290942,0.647608,0.289538,0.641969,48.000000,12.000000,0.000866,9.864047,-0.007174,-0.014348,-0.001065,0.011718,0.010653,193.939011,0.575939,-1.810878,0.374143,0.005152,0.005277,0.001204
10.234794,-89.529778,-141.766724,-0.290941,0.647604,0.289537,0.641974,48.000000,14.000000,0.000046,9.849699,-0.050217,-0.078912,0.009587,0.004261,-0.003196,193.940048,0.529052,-1.841542,0.336684,0.002272,-0.001085,0.000513
10.296499,-89.530609,-141.828384,-0.290939,0.647602,0.289542,0.641975,48.000000,12.000000,0.000445,9.749265,-0.057391,-0.035869,0.010653,0.001065,-0.003196,193.941010,0.502396,-1.836807,0.286748,0.001495,-0.001440,0.001091
10.373641,-89.530609,-141.905167,-0.290935,0.647599,0.289548,0.641977,48.000000,12.000000,0.001777,9.785134,0.035869,-0.093260,0.011718,-0.001065,-0.004261,193.942001,0.527967,-1.837719,0.295319,0.000766,-0.002103,0.001173
10.512567,-89.530609,-142.043808,-0.290931,0.647599,0.289558,0.641974,48.000000,33.000000,0.000277,9.799482,-0.043043,-0.100434,0.010653,-0.011718,-0.013848,193.943008,0.500593,-1.849331,0.299938,-0.007391,-0.007127,-0.003800
