I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22
-134.796906,-42.790981,-92.491119,0.004203,-0.491379,0.523922,-0.695726,50.000000,12.000000,0.000864,6.764943,-7.209721,-0.308476,0.003196,0.005326,0.005326,920.463989,6.764943,-7.209721,-10.103175,-0.002085,0.000828,0.003614
-134.796967,-42.791237,-92.491203,0.004201,-0.491380,0.523922,-0.695726,50.000000,33.000000,0.000143,6.743421,-7.245591,-0.329997,0.013848,0.003196,0.000000,920.465027,6.743421,-7.245591,-10.124697,0.003241,0.000828,0.006809
-134.797058,-42.791763,-92.491135,0.004197,-0.491381,0.523920,-0.695726,50.000000,13.000000,0.000651,6.743421,-7.224069,-0.358693,-0.007457,0.007457,-0.004261,920.466003,6.743421,-7.224069,-10.153392,-0.001020,0.007220,-0.008104
-134.797577,-42.791737,-92.491310,0.004193,-0.491379,0.523923,-0.695725,50.000000,13.000000,0.000008,6.721900,-7.245591,-0.315649,0.000000,-0.002131,0.004261,920.466980,6.721900,-7.245591,-10.110349,-0.008477,0.004024,0.004679
-134.797165,-42.792377,-92.491837,0.004190,-0.491384,0.523922,-0.695723,50.000000,13.000000,0.001865,6.686030,-7.166678,-0.301302,0.011718,-0.006392,-0.010653,920.468018,6.800812,-7.216895,-10.153392,0.005372,-0.002368,-0.003843
-134.796524,-42.793110,-92.491699,0.004190,-0.491390,0.523915,-0.695724,50.000000,13.000000,0.000048,6.707551,-7.216895,-0.315649,0.015979,-0.014914,0.009587,920.468994,6.707551,-7.216895,-10.110349,0.012829,-0.010890,-0.001713
-134.795135,-42.792416,-92.492744,0.004198,-0.491393,0.523919,-0.695719,50.000000,33.000000,0.000191,6.693204,-7.238417,-0.344345,-0.004261,0.000000,0.006392,920.470032,6.693204,-7.238417,-10.139045,-0.001020,-0.007694,0.016397
-134.795471,-42.791702,-92.492828,0.004200,-0.491388,0.523924,-0.695718,50.000000,13.000000,0.000761,6.678856,-7.288634,-0.294128,0.007457,-0.003196,-0.013848,920.470947,6.678856,-7.288634,-10.088827,-0.007412,0.005089,0.004679
-134.795212,-42.792732,-92.492661,0.004196,-0.491394,0.523917,-0.695719,50.000000,13.000000,0.000129,6.786464,-7.288634,-0.322823,0.017044,0.007457,-0.018109,920.471985,6.786464,-7.288634,-10.117523,0.010698,-0.001302,-0.019822
-134.795380,-42.793259,-92.492348,0.004193,-0.491396,0.523914,-0.695721,50.000000,12.000000,0.000848,6.700378,-7.152330,-0.358693,0.013848,0.000000,0.013848,920.473022,6.686030,-7.259938,-10.167740,0.004306,0.008285,-0.007039
-134.794220,-42.793839,-92.492920,0.004194,-0.491403,0.523910,-0.695718,50.000000,12.000000,0.001672,6.772116,-7.181026,-0.322823,0.017044,-0.024501,0.011718,920.473999,6.772116,-7.181026,-10.117523,0.009633,-0.021543,0.003614
-134.791687,-42.793930,-92.494873,0.004200,-0.491416,0.523910,-0.695709,50.000000,33.000000,0.002872,6.786464,-7.224069,-0.416083,0.010653,-0.007457,0.002131,920.474976,6.786464,-7.224069,-10.210783,0.004306,-0.019412,0.010005
-134.791458,-42.794060,-92.494987,0.004200,-0.491417,0.523909,-0.695709,50.000000,13.000000,0.000273,6.664508,-7.238417,-0.329997,0.006392,0.006392,-0.018109,920.476013,6.664508,-7.238417,-10.124697,-0.002085,0.005089,-0.015561
-134.791504,-42.794590,-92.495071,0.004196,-0.491419,0.523908,-0.695708,50.000000,12.000000,0.000256,6.707551,-7.231243,-0.351519,0.006392,0.001065,0.001065,920.476990,6.707551,-7.231243,-10.146218,0.003241,0.005089,-0.007039
-134.791626,-42.794159,-92.494751,0.004200,-0.491417,0.523908,-0.695710,50.000000,12.000000,0.000747,6.607118,-7.288634,-0.344345,-0.001065,-0.009587,0.002131,920.478027,6.628639,-7.224069,-10.074480,0.001111,-0.003433,0.001483
-134.790527,-42.792492,-92.495461,0.004214,-0.491415,0.523915,-0.695706,50.000000,13.000000,0.001498,6.678856,-7.324503,-0.294128,0.013848,-0.013848,-0.008522,920.479004,6.678856,-7.324503,-10.088827,0.007502,-0.017281,0.003614
-134.789658,-42.792400,-92.495148,0.004221,-0.491418,0.523910,-0.695707,50.000000,32.000000,0.000396,6.657335,-7.245591,-0.308476,0.017044,0.006392,-0.013848,920.480042,6.657335,-7.245591,-10.103175,0.021351,-0.005564,-0.009170
-134.790268,-42.792652,-92.494324,0.004219,-0.491416,0.523906,-0.695711,50.000000,13.000000,0.000720,6.678856,-7.281460,-0.286954,-0.006392,0.010653,0.008522,920.481018,6.678856,-7.281460,-10.081654,-0.003150,0.006154,-0.007039
-134.790955,-42.791821,-92.494629,0.004219,-0.491410,0.523915,-0.695710,50.000000,13.000000,0.000138,6.714725,-7.281460,-0.308476,-0.005326,-0.003196,0.022371,920.481995,6.714725,-7.281460,-10.103175,-0.016999,0.004024,0.016397
-134.789978,-42.790718,-92.495934,0.004226,-0.491410,0.523923,-0.695704,50.000000,13.000000,0.000613,6.750595,-7.353199,-0.337171,0.009587,-0.007457,-0.001065,920.483032,6.729073,-7.302981,-10.160566,-0.004216,-0.015151,0.007875
-134.789764,-42.790787,-92.495560,0.004229,-0.491411,0.523920,-0.695705,50.000000,13.000000,0.000149,6.772116,-7.288634,-0.294128,0.013848,0.007457,-0.005326,920.484009,6.772116,-7.288634,-10.088827,0.012829,0.001893,-0.010235
-134.790146,-42.791222,-92.495087,0.004226,-0.491411,0.523917,-0.695708,50.000000,33.000000,0.000115,6.714725,-7.231243,-0.337171,0.007457,0.007457,0.010653,920.484985,6.714725,-7.231243,-10.131870,0.004306,0.007220,-0.002778
-134.790909,-42.791405,-92.494232,0.004223,-0.491408,0.523914,-0.695711,50.000000,13.000000,0.001022,6.757769,-7.195374,-0.301302,0.018109,0.008522,-0.002131,920.486023,6.757769,-7.195374,-10.096002,0.007502,0.009350,0.002548
-134.791595,-42.792240,-92.493126,0.004219,-0.491409,0.523907,-0.695717,50.000000,12.000000,0.000031,6.700378,-7.245591,-0.308476,0.014914,0.001065,-0.014914,920.487000,6.700378,-7.245591,-10.103175,0.005372,0.005089,-0.013431
