I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22
54.619061,-48.029007,81.302620,-0.494138,-0.670399,0.001333,-0.553526,50.000000,13.000000,0.001192,7.288634,6.384728,0.975644,-0.012783,0.000000,0.014914,813.081970,7.288634,6.384728,-8.819056,-0.018064,-0.000237,0.014266
54.619122,-48.029881,81.301437,-0.494141,-0.670395,0.001344,-0.553529,50.000000,13.000000,0.000034,7.267112,6.463641,0.975644,0.009587,-0.010653,0.007457,813.083008,7.267112,6.463641,-8.819056,0.004306,-0.010890,0.006809
54.618225,-48.029400,81.302635,-0.494140,-0.670400,0.001340,-0.553523,50.000000,12.000000,0.001063,7.317329,6.485162,0.968470,0.026632,-0.004261,0.002131,813.084045,7.202548,6.492336,-8.790360,0.021351,-0.004498,0.001483
54.617897,-48.029728,81.302956,-0.494138,-0.670401,0.001343,-0.553523,50.000000,13.000000,0.000215,7.302981,6.456467,0.975644,-0.018109,0.011718,-0.001065,813.084961,7.302981,6.456467,-8.819056,-0.023390,0.011481,-0.001713
54.617561,-48.030067,81.302742,-0.494140,-0.670401,0.001348,-0.553523,50.000000,32.000000,0.004487,7.259938,6.399076,0.839341,0.009587,0.017044,-0.008522,813.085999,7.259938,6.399076,-8.955359,0.004306,0.016807,-0.009170
54.618896,-48.030354,81.302483,-0.494134,-0.670400,0.001343,-0.553529,50.000000,13.000000,0.000845,7.245591,6.370380,1.011513,0.023436,0.011718,0.008522,813.086975,7.245591,6.370380,-8.783187,0.018155,0.011481,0.007875
54.620995,-48.029995,81.300735,-0.494135,-0.670392,0.001337,-0.553537,50.000000,12.000000,0.002457,7.245591,6.535379,1.076078,0.006392,-0.002131,0.008522,813.088013,7.245591,6.535379,-8.718622,0.001111,-0.002368,0.007875
54.620537,-48.030109,81.300690,-0.494137,-0.670392,0.001341,-0.553536,50.000000,13.000000,0.000527,7.252764,6.463641,1.018687,-0.006392,-0.007457,0.009587,813.089050,7.238417,6.499510,-8.797534,-0.011673,-0.007694,0.008940
54.619804,-48.029995,81.300606,-0.494142,-0.670391,0.001345,-0.553532,50.000000,13.000000,0.000461,7.202548,6.427772,1.025861,0.002131,-0.026632,-0.012783,813.090027,7.202548,6.427772,-8.768839,-0.003150,-0.026869,-0.013431
54.617733,-48.029438,81.302185,-0.494145,-0.670398,0.001346,-0.553521,50.000000,32.000000,0.000506,7.259938,6.427772,0.939775,0.004261,-0.001065,-0.012783,813.091003,7.259938,6.427772,-8.854925,-0.001020,-0.001302,-0.013431
54.618099,-48.029305,81.302391,-0.494143,-0.670398,0.001342,-0.553522,50.000000,12.000000,0.001149,7.245591,6.348859,0.968470,0.017044,0.005326,-0.002131,813.092041,7.245591,6.348859,-8.826230,0.011763,0.005089,-0.002778
54.618107,-48.028374,81.302444,-0.494147,-0.670398,0.001335,-0.553519,50.000000,12.000000,0.000623,7.224069,6.492336,0.997165,-0.002131,-0.008522,0.010653,813.093018,7.224069,6.492336,-8.797534,-0.007412,-0.008759,0.010005
54.618256,-48.028973,81.301659,-0.494148,-0.670395,0.001342,-0.553522,50.000000,12.000000,0.000695,7.202548,6.399076,1.018687,0.001065,0.009587,-0.002131,813.093994,7.216895,6.384728,-8.761665,-0.004216,0.009350,-0.002778
54.619476,-48.028690,81.300529,-0.494150,-0.670390,0.001339,-0.553526,50.000000,12.000000,0.000103,7.216895,6.413424,1.004339,0.002131,0.007457,-0.009587,813.094971,7.216895,6.413424,-8.790360,-0.003150,0.007220,-0.010235
54.619827,-48.028297,81.300095,-0.494153,-0.670388,0.001336,-0.553526,50.000000,32.000000,0.000512,7.224069,6.442119,1.033035,0.007457,-0.008522,-0.006392,813.096008,7.224069,6.442119,-8.761665,0.002176,-0.008759,-0.007039
54.618916,-48.028343,81.301186,-0.494151,-0.670393,0.001336,-0.553523,50.000000,12.000000,0.000127,7.252764,6.442119,0.961296,-0.002131,-0.005326,0.002131,813.097046,7.252764,6.442119,-8.833404,-0.007412,-0.005564,0.001483
