I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22
14.598575,-43.774746,-179.557220,-0.050919,0.920209,0.119322,0.369304,50.125000,12.000000,0.000983,6.894072,-0.014348,-7.116461,-0.009587,0.012783,-0.001065,160.623001,-0.492753,-0.426351,1.627995,-0.016395,-0.005459,-0.006611
14.599060,-43.775368,-179.558594,-0.050910,0.920207,0.119321,0.369310,50.125000,12.000000,0.001522,6.829507,-0.078912,-7.152330,0.003196,0.007457,0.008522,160.623993,-0.529887,-0.443382,1.610809,-0.002466,-0.001831,-0.003655
14.598764,-43.775345,-179.558151,-0.050913,0.920207,0.119320,0.369310,50.125000,12.000000,0.000087,6.858202,-0.043043,-7.181026,0.010653,-0.003196,-0.011718,160.625000,-0.553498,-0.431179,1.617377,0.005932,0.000470,0.003904
14.599002,-43.775673,-179.557892,-0.050916,0.920206,0.119323,0.369312,50.125000,32.000000,0.001355,6.937115,-0.050217,-7.123635,0.005326,-0.011718,0.012783,160.626007,-0.466704,-0.414113,1.647156,0.003231,0.003253,0.002246
14.597431,-43.774944,-179.556488,-0.050921,0.920209,0.119315,0.369305,50.125000,13.000000,0.000237,6.908420,-0.086086,-7.231243,0.003196,0.008522,-0.002131,160.627014,-0.540457,-0.421483,1.643005,0.011835,0.005308,0.000729
14.597531,-43.775597,-179.556381,-0.050923,0.920207,0.119316,0.369310,50.125000,12.000000,0.000758,6.908420,-0.100434,-7.152330,-0.009587,0.021305,-0.022371,160.628006,-0.509976,-0.409303,1.637097,-0.017225,-0.006547,-0.003359
14.597996,-43.776669,-179.557281,-0.050919,0.920203,0.119316,0.369320,50.125000,12.000000,0.000076,6.822333,-0.071739,-7.137983,0.007457,0.018109,0.015979,160.629013,-0.517810,-0.420685,1.647384,-0.000552,-0.003041,-0.003836
14.596721,-43.778008,-179.556091,-0.050925,0.920200,0.119310,0.369330,50.125000,12.000000,0.001427,6.843855,-0.028695,-7.030375,0.023436,0.012783,0.002131,160.630051,-0.500426,-0.419188,1.599636,0.017554,0.000346,0.002731
14.596961,-43.778625,-179.555359,-0.050933,0.920197,0.119314,0.369334,50.125000,12.000000,0.000395,6.851029,0.000000,-7.145157,0.018109,0.008522,-0.002131,160.631012,-0.537887,-0.438013,1.611160,0.018659,-0.000500,0.008684
14.597414,-43.779045,-179.555435,-0.050934,0.920195,0.119317,0.369337,50.125000,12.000000,0.000376,6.858202,-0.014348,-7.145157,-0.006392,-0.004261,0.003196,160.632004,-0.534425,-0.433958,1.614271,0.002143,-0.000741,0.000974
