I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22
-161.861893,-45.379284,-1.017870,-0.142037,0.382194,0.052707,0.911579,49.750000,12.000000,0.000203,6.922767,-0.136303,6.793638,0.007457,0.010653,-0.011718,58.546005,0.020473,-0.535124,-0.084106,-0.002313,-0.001310,-0.009805
-161.861359,-45.378624,-1.017741,-0.142042,0.382188,0.052709,0.911580,49.750000,12.000000,0.000965,6.922767,-0.129129,6.872550,0.020240,-0.001065,0.011718,58.547005,0.053784,-0.521734,-0.000307,0.006031,-0.000530,0.014769
-161.860580,-45.378796,-1.017992,-0.142047,0.382190,0.052710,0.911579,49.750000,12.000000,0.000326,6.972984,-0.150651,6.843855,0.007457,-0.007457,0.005326,58.548004,0.043690,-0.535796,-0.023391,0.000800,0.000095,0.004805
-161.860138,-45.378971,-1.018527,-0.142049,0.382191,0.052707,0.911578,49.750000,32.000000,0.001868,6.901246,-0.208042,6.772116,0.009587,-0.004261,-0.010653,58.549004,-0.001165,-0.536391,-0.109669,-0.003841,-0.001720,-0.008045
-161.860992,-45.378483,-1.017568,-0.142045,0.382187,0.052711,0.911580,49.750000,12.000000,0.000153,6.915594,-0.143477,6.843855,0.010653,0.010653,-0.007457,58.550041,0.035402,-0.529358,-0.043959,-0.000334,-0.001223,-0.005039
-161.860352,-45.378139,-1.017870,-0.142050,0.382184,0.052711,0.911581,49.750000,12.000000,0.000152,6.886898,-0.100434,6.772116,0.006392,0.004261,0.017044,58.551003,0.012639,-0.532776,-0.115521,0.006397,0.001640,0.014318
-161.859970,-45.378296,-1.017880,-0.142053,0.382185,0.052712,0.911579,49.750000,13.000000,0.000752,7.001679,-0.143477,6.786464,0.005326,0.001065,0.006392,58.552002,0.063981,-0.531967,-0.005655,0.002098,0.000601,0.004897
-161.860245,-45.378990,-1.018325,-0.142048,0.382191,0.052709,0.911578,49.750000,12.000000,0.000105,6.958636,-0.114782,6.836681,-0.006392,0.001065,-0.008522,58.553005,0.044294,-0.534274,-0.034831,-0.004916,0.000355,-0.011975
-161.861450,-45.380405,-1.017891,-0.142039,0.382203,0.052710,0.911574,49.750000,32.000000,0.001961,7.037549,-0.150651,6.815159,0.012783,-0.012783,-0.026632,58.554005,0.044420,-0.545779,-0.024631,-0.010070,-0.003875,-0.020441
-161.862778,-45.381062,-1.016579,-0.142033,0.382207,0.052717,0.911573,49.750000,12.000000,0.002439,6.980158,-0.093260,6.743421,0.011718,0.012783,0.005326,58.555004,0.019128,-0.545722,-0.106474,0.004535,0.000014,0.006201
