I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22
38.254116,2.596834,-84.902771,-0.691926,0.643017,0.205308,-0.256155,49.375000,36.000000,0.000638,-0.523691,-9.799482,0.939775,0.000000,0.017044,0.006392,550.333069,-20.409563,6.867651,-45.531750,-0.014536,-0.018408,-0.045712
38.253613,2.597569,-84.902672,-0.691927,0.643019,0.205301,-0.256156,49.375000,12.000000,0.002192,-0.509344,-9.821004,0.975644,0.001065,0.005326,-0.005326,550.333984,-20.498093,6.857667,-45.628597,0.005530,-0.023748,-0.004621
38.253460,2.597657,-84.901657,-0.691932,0.643013,0.205297,-0.256158,49.375000,36.000000,0.001117,-0.373040,-9.942959,0.896731,0.009587,0.004261,-0.008522,550.334961,-20.437067,6.942945,-45.472237,0.014574,-0.015848,0.000679
38.253525,2.596623,-84.901360,-0.691936,0.643009,0.205303,-0.256153,49.375000,13.000000,0.001444,-0.487822,-9.928611,0.946948,0.004261,-0.010653,0.008522,550.335999,-20.421022,6.971775,-45.339741,-0.009612,0.026975,0.016656
38.253952,2.596295,-84.901405,-0.691936,0.643008,0.205308,-0.256154,49.375000,13.000000,0.000304,-0.459127,-9.907089,0.975644,0.004261,0.003196,0.000000,550.337036,-20.453682,7.039624,-45.427441,-0.000192,-0.006456,-0.006115
38.253365,2.595391,-84.901375,-0.691939,0.643007,0.205310,-0.256145,49.375000,36.000000,0.000496,-0.380214,-9.856873,0.911079,0.018109,0.007457,-0.005326,550.338074,-20.258968,6.899470,-45.292835,0.013414,-0.001476,-0.011473
38.253212,2.595327,-84.901512,-0.691939,0.643008,0.205310,-0.256144,49.375000,12.000000,0.000396,-0.423257,-9.885569,0.846515,-0.008522,-0.005326,0.009587,550.338989,-20.249231,6.824476,-45.324375,-0.018557,0.003458,0.004236
38.253399,2.595778,-84.902695,-0.691931,0.643016,0.205311,-0.256145,49.375000,12.000000,0.000395,-0.480648,-9.899916,0.846515,-0.007457,-0.002131,0.003196,550.340027,-20.218311,6.679780,-45.349888,-0.009431,-0.010921,0.003995
38.253578,2.596317,-84.903458,-0.691925,0.643021,0.205310,-0.256148,49.375000,12.000000,0.000453,-0.466300,-9.892742,0.903905,0.003196,-0.003196,-0.010653,550.341003,-20.354504,6.878090,-45.374870,0.016140,-0.019702,0.021412
38.253853,2.596313,-84.902740,-0.691928,0.643016,0.205310,-0.256151,49.375000,12.000000,0.001103,-0.480648,-9.806656,0.918253,-0.001065,0.000000,0.001065,550.342041,-20.401703,6.774182,-45.594490,-0.003662,-0.008222,0.000756
