I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22
164.474289,0.179216,-135.309052,0.049920,-0.125519,-0.916351,0.376901,50.000000,32.000000,0.000845,0.028695,-7.023201,-7.080592,0.021305,-0.005326,0.018109,441.112000,0.409378,0.522886,1.598109,-0.006178,-0.009161,0.001322
164.474594,0.179530,-135.308792,0.049917,-0.125518,-0.916350,0.376904,50.000000,12.000000,0.000094,-0.014348,-7.016027,-7.109287,0.004261,-0.011718,-0.008522,441.112976,0.422915,0.533632,1.596802,-0.000146,-0.005925,0.005783
164.475388,0.179265,-135.308868,0.049916,-0.125511,-0.916351,0.376903,50.000000,12.000000,0.000022,-0.021522,-7.059071,-7.137983,0.005326,0.004261,-0.006392,441.114014,0.422656,0.509890,1.617368,0.001283,0.006205,-0.001323
164.475388,0.178824,-135.309326,0.049919,-0.125509,-0.916353,0.376899,50.000000,12.000000,0.002038,-0.035869,-7.080592,-7.116461,0.008522,-0.002131,0.011718,441.115021,0.424619,0.610180,1.563220,-0.002268,-0.006024,0.000346
164.475403,0.178252,-135.308716,0.049925,-0.125507,-0.916351,0.376903,50.000000,12.000000,0.001046,0.035869,-7.023201,-7.080592,0.012783,0.010653,-0.004261,441.115997,0.407884,0.524101,1.598067,0.000173,0.011687,-0.004257
164.474777,0.176605,-135.308777,0.049940,-0.125507,-0.916351,0.376901,50.000000,32.000000,0.000865,0.028695,-7.016027,-7.066244,0.002131,0.009587,0.005326,441.117004,0.408813,0.522572,1.594083,0.001263,0.005027,-0.004362
164.474594,0.176701,-135.308670,0.049940,-0.125509,-0.916351,0.376902,50.000000,12.000000,0.000225,-0.028695,-7.073418,-7.102114,0.002131,-0.007457,0.009587,441.118011,0.418630,0.481997,1.621435,-0.001263,-0.010472,0.002813
164.474060,0.176152,-135.307770,0.049947,-0.125511,-0.916348,0.376908,50.000000,12.000000,0.003450,0.064565,-7.080592,-7.037549,-0.003196,0.008522,0.026632,441.119019,0.390064,0.464658,1.620337,-0.000162,-0.005679,-0.005197
164.473557,0.175181,-135.307709,0.049956,-0.125511,-0.916347,0.376907,50.000000,12.000000,0.002771,-0.043043,-6.987332,-7.188200,0.001065,0.013848,-0.011718,441.120026,0.394856,0.462079,1.608794,0.003973,0.015449,-0.005171
164.473892,0.174021,-135.308533,0.049964,-0.125505,-0.916351,0.376899,50.000000,12.000000,0.000449,-0.028695,-7.001679,-7.145157,0.025566,0.018109,-0.007457,441.121002,0.432434,0.557723,1.592781,-0.001358,0.021152,-0.007338
164.473923,0.173712,-135.307587,0.049967,-0.125504,-0.916348,0.376907,50.000000,32.000000,0.001111,-0.100434,-7.051897,-7.116461,0.014914,0.003196,-0.010653,441.122009,0.438846,0.493478,1.612976,-0.000444,0.008734,-0.000614
164.474609,0.173976,-135.307709,0.049963,-0.125499,-0.916349,0.376906,50.000000,12.000000,0.000101,-0.035869,-7.073418,-7.181026,0.005326,-0.012783,0.018109,441.123016,0.429598,0.514061,1.626225,-0.003581,-0.017811,0.004607
164.473984,0.175573,-135.308624,0.049951,-0.125510,-0.916351,0.376901,50.000000,12.000000,0.000058,-0.028695,-7.037549,-7.137983,0.000000,0.006392,0.022371,441.123993,0.427176,0.525902,1.607991,-0.000622,-0.005069,-0.004012
164.473587,0.175459,-135.309219,0.049952,-0.125513,-0.916352,0.376895,50.000000,12.000000,0.000484,-0.050217,-7.044723,-7.209721,0.006392,0.004261,-0.010653,441.125000,0.428794,0.524299,1.639242,0.001543,0.008175,-0.001063
164.473785,0.175069,-135.309845,0.049954,-0.125510,-0.916355,0.376890,50.000000,12.000000,0.000839,0.000000,-7.008853,-7.123635,-0.001065,0.009587,-0.006392,441.126007,0.422686,0.547510,1.594648,0.003314,0.009427,-0.003635
164.473465,0.174277,-135.309814,0.049962,-0.125510,-0.916355,0.376889,50.000000,32.000000,0.000358,-0.014348,-7.059071,-7.080592,0.011718,0.005326,-0.004261,441.127014,0.414934,0.486606,1.613939,-0.000231,0.007227,-0.001931
164.474121,0.174024,-135.310257,0.049961,-0.125504,-0.916357,0.376886,50.000000,12.000000,0.000607,-0.014348,-6.980158,-7.130809,-0.001065,-0.008522,-0.003196,441.127991,0.430141,0.571129,1.582637,0.000784,-0.006481,0.004071
164.474014,0.173964,-135.309845,0.049962,-0.125505,-0.916355,0.376889,50.000000,12.000000,0.000674,0.021522,-7.023201,-7.073418,0.019175,0.006392,0.017044,441.128998,0.410571,0.518380,1.597782,-0.004192,0.000357,-0.003721
164.473343,0.174216,-135.309067,0.049963,-0.125510,-0.916352,0.376895,50.000000,12.000000,0.000058,-0.028695,-7.023201,-7.087766,0.003196,0.002131,0.013848,441.130035,0.421628,0.513610,1.613832,-0.000844,-0.004378,-0.001634
164.473450,0.174736,-135.309021,0.049959,-0.125511,-0.916352,0.376896,50.000000,12.000000,0.000480,-0.035869,-7.087766,-7.094940,0.000000,-0.011718,-0.003196,441.131012,0.417852,0.466122,1.627310,0.000170,-0.008874,0.005463
