I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22
175.488235,-1.175398,-44.048649,0.040331,-0.005259,-0.375064,0.926106,50.125000,12.000000,0.000450,0.193694,-6.843855,7.008853,0.001065,-0.010653,-0.012783,337.206024,0.149743,0.012291,-0.009423,0.000660,0.002985,-0.007784
175.488892,-1.176018,-44.048561,0.040328,-0.005252,-0.375064,0.926107,50.125000,12.000000,0.000489,0.208042,-6.851029,6.994506,0.008522,-0.022371,0.014914,337.207001,0.147712,-0.008585,0.038158,0.000513,-0.008002,0.020166
175.489853,-1.175999,-44.049099,0.040320,-0.005249,-0.375068,0.926105,50.125000,12.000000,0.000014,0.193694,-6.822333,7.051897,0.001065,0.001065,0.014914,337.208008,0.148074,0.000309,0.020074,-0.000311,-0.005016,0.011921
175.489838,-1.175703,-44.048546,0.040320,-0.005251,-0.375063,0.926107,50.125000,32.000000,0.000508,0.208042,-6.815159,7.116461,0.020240,0.013848,0.005326,337.208984,0.146509,-0.020581,0.073144,-0.000593,0.000866,-0.000571
175.489426,-1.174963,-44.047821,0.040320,-0.005258,-0.375057,0.926109,50.125000,12.000000,0.000246,0.215216,-6.865376,7.051897,0.021305,0.017044,-0.001065,337.210052,0.149582,-0.004831,0.035220,-0.000579,0.003580,-0.007164
175.488846,-1.174073,-44.048271,0.040322,-0.005268,-0.375061,0.926108,50.125000,12.000000,0.001030,0.143477,-6.836681,7.116461,-0.017044,0.014914,-0.003196,337.210999,0.147351,-0.026125,0.079963,-0.000419,0.002512,-0.008645
175.488373,-1.173328,-44.049053,0.040324,-0.005275,-0.375067,0.926105,50.125000,12.000000,0.000430,0.208042,-6.843855,7.109287,0.000000,0.007457,-0.001065,337.212006,0.147170,-0.027225,0.086539,-0.000216,0.001398,-0.004042
175.487991,-1.173660,-44.048439,0.040328,-0.005274,-0.375062,0.926107,50.125000,12.000000,0.000520,0.229563,-6.793638,7.080592,0.015979,0.005326,-0.004261,337.212982,0.146471,-0.004225,0.035047,-0.000094,0.002843,-0.005880
175.487778,-1.173701,-44.047577,0.040330,-0.005274,-0.375055,0.926110,50.125000,32.000000,0.001612,0.265433,-6.772116,7.080592,0.014914,0.012783,0.020240,337.214020,0.145679,0.000222,0.027864,-0.000848,-0.004684,0.012555
175.488602,-1.173131,-44.046692,0.040321,-0.005275,-0.375048,0.926113,50.125000,12.000000,0.001605,0.222389,-6.764943,7.116461,0.009587,-0.011718,0.009587,337.214996,0.144724,-0.012933,0.055677,0.000240,-0.004615,0.011889
175.488632,-1.174099,-44.046803,0.040324,-0.005267,-0.375049,0.926113,50.125000,12.000000,0.001129,0.186520,-6.894072,7.023201,0.012783,-0.010653,-0.027697,337.216003,0.151223,0.000036,0.020215,0.000947,0.008638,-0.020474
175.487747,-1.174978,-44.046764,0.040334,-0.005263,-0.375049,0.926112,50.125000,12.000000,0.001101,0.236737,-6.786464,7.030375,0.005326,0.006392,-0.010653,337.216980,0.150013,0.039674,-0.074772,0.000008,0.004796,-0.011850
175.487015,-1.175641,-44.046761,0.040342,-0.005260,-0.375049,0.926112,50.125000,12.000000,0.000207,0.229563,-6.807986,7.051897,-0.007457,0.003196,-0.007457,337.218018,0.147615,0.003784,0.015304,0.000071,0.002733,-0.008123
175.487198,-1.175357,-44.049004,0.040340,-0.005263,-0.375067,0.926105,50.125000,32.000000,0.001807,0.150651,-6.872550,6.994506,-0.019175,-0.008522,0.015979,337.218994,0.151124,0.011562,-0.012167,0.000030,-0.007527,0.015970
175.489105,-1.174160,-44.050079,0.040320,-0.005267,-0.375075,0.926102,50.125000,12.000000,0.001557,0.143477,-6.872550,7.016027,0.006392,-0.012783,0.034088,337.220032,0.150625,0.003772,0.006309,-0.000210,-0.013419,0.033272
175.489777,-1.172767,-44.050182,0.040310,-0.005276,-0.375076,0.926102,50.125000,12.000000,0.000820,0.172172,-6.829507,6.980158,0.026632,0.010653,-0.007457,337.220978,0.149749,0.023419,-0.039201,-0.000230,0.005120,-0.010372
175.489166,-1.172602,-44.049469,0.040315,-0.005279,-0.375070,0.926104,50.125000,12.000000,0.000782,0.179346,-6.807986,6.965810,0.008522,-0.005326,-0.008522,337.222015,0.147597,0.000345,0.014577,0.000378,0.002541,-0.005904
175.489319,-1.173195,-44.049946,0.040315,-0.005274,-0.375074,0.926103,50.125000,12.000000,0.000083,0.200868,-6.800812,7.059071,0.002131,-0.008522,-0.005326,337.222992,0.147137,0.001100,0.018856,0.000434,0.000729,-0.002111
175.488998,-1.172962,-44.051315,0.040317,-0.005277,-0.375085,0.926098,50.125000,32.000000,0.000173,0.186520,-6.815159,7.008853,-0.010653,0.014914,-0.003196,337.223999,0.148671,0.015976,-0.019340,-0.000426,0.002764,-0.008580
175.489029,-1.172106,-44.052277,0.040314,-0.005284,-0.375093,0.926095,50.125000,12.000000,0.000052,0.200868,-6.865376,7.073418,0.000000,0.004261,0.018109,337.225006,0.149125,-0.012981,0.053820,-0.000487,-0.005724,0.013541
175.489075,-1.171936,-44.052742,0.040313,-0.005286,-0.375096,0.926094,50.125000,12.000000,0.000428,0.157825,-6.815159,7.037549,0.010653,0.002131,-0.013848,337.226013,0.148106,0.004827,0.005096,0.000218,0.005523,-0.013055
175.488571,-1.173075,-44.052158,0.040321,-0.005278,-0.375092,0.926095,50.125000,12.000000,0.001678,0.222389,-6.836681,7.109287,0.011718,-0.004261,-0.001065,337.227020,0.145801,0.008897,0.007223,0.000187,0.000220,0.000163
175.488983,-1.172673,-44.051723,0.040316,-0.005280,-0.375088,0.926097,50.125000,12.000000,0.000644,0.150651,-6.836681,7.087766,0.002131,0.000000,0.017044,337.227997,0.147885,-0.015929,0.055594,-0.000317,-0.005865,0.014133
175.489288,-1.171676,-44.052265,0.040311,-0.005287,-0.375092,0.926095,50.125000,32.000000,0.001399,0.136303,-6.858202,7.023201,-0.002131,0.009587,0.005326,337.229004,0.149935,0.002961,0.007526,-0.000417,-0.000612,0.000684
175.488892,-1.171538,-44.051964,0.040313,-0.005289,-0.375090,0.926096,50.125000,12.000000,0.000843,0.236737,-6.779290,7.080592,0.007457,0.001065,0.001065,337.230042,0.145889,-0.002005,0.030327,-0.000040,0.000056,0.000092
175.488815,-1.172644,-44.051620,0.040318,-0.005280,-0.375087,0.926097,50.125000,12.000000,0.000237,0.229563,-6.843855,7.051897,-0.004261,-0.017044,-0.012783,337.231018,0.148778,-0.001333,0.028090,0.000893,0.001880,-0.005610
175.488998,-1.172951,-44.052113,0.040317,-0.005277,-0.375091,0.926096,50.125000,12.000000,0.000040,0.243911,-6.858202,7.059071,-0.002131,0.000000,0.004261,337.231995,0.148274,-0.027966,0.090781,-0.000056,-0.001583,0.003110
175.488831,-1.173063,-44.051620,0.040319,-0.005277,-0.375087,0.926097,50.125000,12.000000,0.000127,0.179346,-6.800812,7.044723,0.024501,0.004261,-0.010653,337.233002,0.147455,0.005206,0.006412,0.000063,0.005255,-0.010911
175.488190,-1.172809,-44.050552,0.040323,-0.005281,-0.375079,0.926100,50.125000,33.000000,0.001155,0.136303,-6.829507,7.016027,0.005326,0.001065,-0.009587,337.234009,0.149115,0.009507,-0.008739,0.000176,0.003680,-0.009079
175.488297,-1.172828,-44.051006,0.040322,-0.005280,-0.375082,0.926099,50.125000,12.000000,0.000203,0.222389,-6.786464,7.044723,-0.011718,-0.003196,0.011718,337.235016,0.146915,0.008926,0.001816,-0.000082,-0.005004,0.010530
175.488907,-1.173104,-44.051266,0.040318,-0.005276,-0.375085,0.926098,50.125000,12.000000,0.000249,0.215216,-6.779290,7.051897,0.008522,-0.015979,0.000000,337.235992,0.146509,0.007144,0.005420,0.000584,-0.001917,0.005129
175.489426,-1.173014,-44.051308,0.040314,-0.005275,-0.375085,0.926098,50.125000,12.000000,0.001215,0.186520,-6.815159,7.073418,0.008522,0.001065,0.004261,337.237000,0.150937,0.000093,0.017765,-0.000105,-0.001014,0.002848
175.489502,-1.172822,-44.050468,0.040313,-0.005276,-0.375078,0.926101,50.125000,12.000000,0.000092,0.193694,-6.829507,7.087766,0.012783,-0.008522,0.002131,337.238007,0.147575,-0.013198,0.053460,0.000273,-0.001446,0.004404
175.489914,-1.173593,-44.050282,0.040312,-0.005269,-0.375077,0.926102,50.125000,32.000000,0.000190,0.229563,-6.822333,7.051897,0.002131,-0.007457,0.003196,337.239014,0.148000,0.001708,0.020511,0.000225,-0.002088,0.004838
175.489441,-1.172999,-44.050034,0.040314,-0.005275,-0.375075,0.926103,50.125000,12.000000,0.000895,0.143477,-6.793638,7.059071,0.011718,0.018109,-0.003196,337.240021,0.146939,-0.000160,0.015772,-0.000563,0.004093,-0.009464
175.488785,-1.171700,-44.049999,0.040315,-0.005287,-0.375074,0.926103,50.125000,12.000000,0.001236,0.129129,-6.822333,7.030375,-0.002131,0.001065,0.006392,337.240997,0.148551,0.005253,0.000976,-0.000137,-0.002176,0.004569
175.489105,-1.172264,-44.049988,0.040314,-0.005282,-0.375074,0.926103,50.125000,12.000000,0.002243,0.164999,-6.843855,7.116461,-0.005326,-0.009587,0.002131,337.242004,0.144467,-0.027216,0.091753,0.000330,-0.002309,0.004589
175.489563,-1.171731,-44.049633,0.040309,-0.005285,-0.375071,0.926104,50.125000,12.000000,0.000946,0.157825,-6.815159,7.116461,0.008522,0.005326,0.015979,337.243011,0.146517,-0.022567,0.072689,-0.000492,-0.004497,0.011428
175.489746,-1.171166,-44.049526,0.040305,-0.005288,-0.375070,0.926105,50.125000,32.000000,0.000089,0.215216,-6.829507,7.080592,-0.003196,0.009587,0.000000,337.243988,0.147671,-0.009822,0.047462,-0.000309,0.001200,-0.003902
175.489838,-1.171209,-44.049839,0.040305,-0.005288,-0.375073,0.926104,50.125000,12.000000,0.000679,0.215216,-6.786464,7.094940,-0.012783,-0.004261,0.007457,337.244995,0.145854,-0.008800,0.044802,0.000042,-0.003712,0.007231
175.490402,-1.171824,-44.050377,0.040302,-0.005281,-0.375077,0.926102,50.125000,12.000000,0.000584,0.236737,-6.772116,7.051897,0.000000,-0.005326,0.004261,337.246002,0.146175,0.009025,0.003085,0.000130,-0.002245,0.004989
175.490555,-1.171788,-44.050213,0.040301,-0.005281,-0.375076,0.926103,50.125000,12.000000,0.000444,0.129129,-6.843855,7.037549,0.009587,-0.002131,-0.004261,337.247009,0.148588,-0.018615,0.063077,0.000178,0.001547,-0.003347
175.490250,-1.171007,-44.050320,0.040301,-0.005288,-0.375076,0.926102,50.125000,12.000000,0.000376,0.172172,-6.764943,7.037549,0.000000,0.011718,0.002131,337.247986,0.146274,0.012484,-0.012404,-0.000431,0.000882,-0.002782
175.489914,-1.169448,-44.050289,0.040298,-0.005302,-0.375076,0.926103,50.125000,32.000000,0.000115,0.179346,-6.800812,7.016027,0.014914,0.018109,0.009587,337.248993,0.147961,0.015246,-0.018318,-0.000823,-0.000231,0.001548
175.489838,-1.169266,-44.050446,0.040298,-0.005304,-0.375077,0.926102,50.125000,12.000000,0.000216,0.229563,-6.800812,7.023201,-0.008522,-0.008522,0.000000,337.250061,0.147762,0.014725,-0.011633,0.000338,-0.001545,0.002355
175.490204,-1.169670,-44.051178,0.040297,-0.005300,-0.375083,0.926100,50.125000,12.000000,0.000331,0.164999,-6.865376,7.080592,-0.001065,-0.003196,-0.001065,337.251007,0.148958,-0.016853,0.059546,0.000163,-0.000134,-0.000340
175.489838,-1.169532,-44.050808,0.040299,-0.005302,-0.375080,0.926101,50.125000,12.000000,0.000520,0.208042,-6.815159,7.123635,0.013848,0.009587,-0.012783,337.252014,0.146529,-0.010021,0.043256,-0.000071,0.006322,-0.014707
175.489075,-1.170108,-44.049885,0.040307,-0.005299,-0.375073,0.926104,50.125000,12.000000,0.000184,0.229563,-6.858202,7.094940,0.010653,-0.003196,-0.019175,337.252991,0.148390,-0.018271,0.069952,0.000514,0.006631,-0.015774
175.489075,-1.170929,-44.050068,0.040310,-0.005293,-0.375074,0.926103,50.125000,32.000000,0.000275,0.193694,-6.843855,7.023201,0.004261,-0.015979,-0.001065,337.254028,0.149370,0.007287,0.002980,0.000610,-0.001714,0.004170
175.490311,-1.170488,-44.050121,0.040299,-0.005292,-0.375075,0.926103,50.125000,13.000000,0.000186,0.179346,-6.822333,7.023201,0.010653,-0.019175,0.020240,337.255005,0.148581,0.009736,-0.004665,0.000289,-0.009325,0.023649
175.490982,-1.169641,-44.049980,0.040290,-0.005297,-0.375073,0.926104,50.125000,12.000000,0.001029,0.136303,-6.865376,7.073418,0.024501,-0.002131,-0.005326,337.256012,0.149114,-0.015455,0.053019,0.000183,0.002505,-0.004109
175.490189,-1.169253,-44.049244,0.040296,-0.005302,-0.375067,0.926106,50.125000,12.000000,0.000576,0.164999,-6.815159,7.008853,0.003196,0.009587,-0.012783,337.256989,0.147773,-0.000353,0.017135,-0.000059,0.005901,-0.014816
175.489746,-1.169264,-44.049725,0.040299,-0.005304,-0.375071,0.926104,50.125000,12.000000,0.000067,0.215216,-6.829507,7.073418,-0.006392,-0.004261,0.006392,337.258026,0.147791,-0.007320,0.041309,0.000057,-0.003089,0.006382
175.490616,-1.168488,-44.049850,0.040290,-0.005307,-0.375072,0.926105,50.125000,32.000000,0.000254,0.172172,-6.879724,7.087766,0.004261,0.001065,0.024501,337.259003,0.149292,-0.021036,0.070700,-0.000507,-0.008228,0.020189
175.491058,-1.167206,-44.048855,0.040282,-0.005316,-0.375064,0.926108,50.125000,12.000000,0.000506,0.172172,-6.829507,7.116461,0.026632,0.006392,0.008522,337.260040,0.146912,-0.023966,0.077785,-0.000399,-0.001038,0.004837
175.490982,-1.167534,-44.047871,0.040284,-0.005313,-0.375056,0.926111,50.125000,12.000000,0.000689,0.222389,-6.836681,7.145157,0.005326,-0.015979,-0.021305,337.260986,0.146545,-0.032957,0.105388,0.001015,0.005374,-0.013204
175.490540,-1.168971,-44.048378,0.040292,-0.005303,-0.375060,0.926109,50.125000,13.000000,0.000075,0.229563,-6.829507,7.109287,0.000000,0.001065,-0.017044,337.262024,0.148675,-0.007800,0.042567,0.000332,0.006066,-0.015538
