I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22
45.824917,-2.946050,90.226212,-0.642724,-0.659448,-0.259036,-0.291435,49.875000,13.000000,0.000177,0.523691,9.842525,-0.078912,0.023436,0.007457,0.000000,717.553040,44.596634,-1.658025,-99.416481,-0.000578,0.025128,0.025822
45.825378,-2.945497,90.227295,-0.642718,-0.659452,-0.259044,-0.291432,49.875000,13.000000,0.001030,0.459127,9.777961,-0.093260,-0.003196,0.005326,-0.008522,717.553955,44.429794,-1.738559,-99.148071,-0.021024,-0.009883,0.032530
45.825237,-2.945033,90.227119,-0.642721,-0.659450,-0.259046,-0.291429,49.875000,33.000000,0.000377,0.466300,9.770786,-0.057391,-0.008522,-0.010653,-0.004261,717.554993,44.505432,-1.783259,-99.234398,-0.010688,0.003722,-0.024946
45.824860,-2.945570,90.227921,-0.642716,-0.659457,-0.259042,-0.291428,49.875000,13.000000,0.000975,0.552387,9.713396,-0.078912,0.028762,-0.005326,0.007457,717.556030,44.471569,-1.431178,-99.349838,0.017245,0.048193,-0.026861
45.824692,-2.945312,90.227737,-0.642718,-0.659456,-0.259043,-0.291426,49.875000,13.000000,0.001819,0.494996,9.742091,0.057391,0.006392,-0.009587,0.000000,717.557007,44.756062,-1.902061,-99.543541,-0.000330,0.024672,-0.028052
45.824627,-2.945179,90.226837,-0.642723,-0.659450,-0.259041,-0.291427,49.875000,13.000000,0.001339,0.509344,9.835351,0.007174,-0.001065,0.004261,0.017044,717.558044,44.696083,-2.162594,-99.137032,0.034468,-0.056637,-0.022039
45.825527,-2.946202,90.225670,-0.642725,-0.659444,-0.259037,-0.291440,49.875000,13.000000,0.001624,0.523691,9.785134,0.050217,0.008522,0.015979,0.011718,717.558960,44.751717,-1.914194,-99.420944,0.022618,-0.049754,0.025440
45.825745,-2.946248,90.226501,-0.642720,-0.659448,-0.259040,-0.291440,49.875000,33.000000,0.000330,0.494996,9.756439,-0.078912,0.018109,-0.010653,-0.008522,717.560059,44.473404,-1.644315,-99.251297,-0.017636,0.070085,-0.012211
45.824959,-2.945909,90.226761,-0.642721,-0.659451,-0.259038,-0.291433,49.875000,13.000000,0.000002,0.502170,9.742091,-0.035869,0.001065,-0.011718,-0.002131,717.561035,44.561684,-1.689916,-99.366562,-0.005169,0.022195,-0.030974
45.824787,-2.945819,90.227028,-0.642720,-0.659453,-0.259038,-0.291431,49.875000,13.000000,0.000364,0.538039,9.699048,-0.043043,0.003196,0.001065,-0.002131,717.562012,44.551655,-1.506289,-99.472237,-0.006258,-0.000433,0.007784
