I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22
-13.795390,-3.156451,133.859009,0.391923,0.911722,-0.121165,-0.021888,50.125000,12.000000,0.000802,0.616951,7.188200,-6.865376,0.020240,-0.012783,-0.003196,274.202026,-0.016577,-0.366897,-0.668729,0.006506,0.007473,-0.005834
-13.795809,-3.156562,133.859634,0.391918,0.911723,-0.121168,-0.021888,50.125000,12.000000,0.000122,0.530865,7.116461,-6.865376,0.011718,0.019175,0.009587,274.203003,-0.072320,-0.301323,-0.721502,0.008444,-0.003067,-0.007319
-13.795310,-3.157632,133.859482,0.391920,0.911723,-0.121168,-0.021878,50.125000,32.000000,0.000119,0.566734,7.123635,-6.836681,0.004261,0.014914,0.010653,274.204010,-0.043300,-0.336638,-0.735689,-0.008251,-0.028297,0.008854
-13.795287,-3.158261,133.859680,0.391919,0.911723,-0.121170,-0.021873,50.125000,12.000000,0.000036,0.538039,7.066244,-6.807986,0.009587,-0.005326,-0.009587,274.204987,-0.062989,-0.308219,-0.802446,0.002956,-0.006738,-0.002749
-13.794686,-3.157310,133.860321,0.391913,0.911727,-0.121162,-0.021877,50.125000,12.000000,0.002063,0.530865,7.044723,-6.908420,0.000000,0.004261,-0.017044,274.206024,-0.051061,-0.216186,-0.741939,0.003566,0.018831,0.020815
-13.794151,-3.157041,133.860336,0.391913,0.911727,-0.121157,-0.021878,50.125000,12.000000,0.000390,0.559560,7.023201,-6.851029,0.001065,-0.003196,0.018109,274.207001,-0.050328,-0.278296,-0.758187,-0.003289,0.000656,0.004187
-13.795034,-3.157652,133.860992,0.391908,0.911728,-0.121166,-0.021875,50.125000,12.000000,0.000231,0.545213,7.087766,-6.858202,0.003196,-0.001065,0.006392,274.208008,-0.053509,-0.288968,-0.747275,-0.000556,-0.005691,-0.015978
-13.795075,-3.157485,133.862045,0.391900,0.911732,-0.121166,-0.021876,50.125000,32.000000,0.000725,0.538039,7.087766,-6.894072,-0.001065,0.006392,-0.012783,274.208984,-0.055412,-0.260757,-0.720088,0.003678,0.007228,0.006206
-13.794185,-3.157847,133.862122,0.391899,0.911733,-0.121160,-0.021870,50.125000,12.000000,0.000901,0.588256,7.102114,-6.894072,-0.007457,0.022371,0.005326,274.210052,-0.009886,-0.283795,-0.706126,-0.003655,-0.006965,0.019645
-13.793935,-3.159957,133.862061,0.391902,0.911732,-0.121165,-0.021852,50.125000,12.000000,0.001266,0.595430,7.094940,-6.901246,-0.004261,-0.009587,0.006392,274.210999,-0.000682,-0.274578,-0.704830,-0.012291,-0.015396,-0.002810
-13.794227,-3.160721,133.862244,0.391901,0.911731,-0.121170,-0.021847,50.125000,32.000000,0.000349,0.559560,7.116461,-6.894072,0.000000,0.009587,-0.017044,274.212036,-0.041131,-0.286817,-0.695983,-0.004612,0.007522,0.020361
-13.793449,-3.160607,133.862122,0.391902,0.911732,-0.121164,-0.021845,50.125000,12.000000,0.000451,0.581082,7.066244,-6.822333,-0.003196,-0.007457,-0.022371,274.212982,-0.019668,-0.308195,-0.787733,-0.002368,0.011198,0.014788
-13.793174,-3.158786,133.862732,0.391896,0.911735,-0.121155,-0.021858,50.125000,32.000000,0.000618,0.494996,7.094940,-6.843855,0.028762,-0.005326,-0.001065,274.214020,-0.105878,-0.292411,-0.755080,0.019382,0.016670,0.000596
-13.793694,-3.159148,133.863907,0.391887,0.911739,-0.121161,-0.021856,50.125000,12.000000,0.000179,0.566734,7.087766,-6.793638,0.004261,0.001065,0.021305,274.214996,-0.042070,-0.342385,-0.794932,0.016729,-0.015994,-0.015746
-13.794221,-3.160298,133.863052,0.391894,0.911735,-0.121169,-0.021849,50.125000,12.000000,0.000805,0.552387,7.166678,-6.800812,-0.020240,0.002131,0.007457,274.216003,-0.071912,-0.391615,-0.730507,-0.015004,-0.013815,-0.007042
-13.794482,-3.160535,133.861389,0.391908,0.911728,-0.121172,-0.021850,50.125000,12.000000,0.000799,0.530865,7.159504,-6.807986,-0.012783,-0.011718,0.008522,274.217010,-0.094551,-0.277830,-0.770515,-0.018223,0.004623,-0.008094
-13.795099,-3.159785,133.860153,0.391917,0.911724,-0.121174,-0.021859,50.125000,12.000000,0.000597,0.609777,7.188200,-6.836681,0.008522,-0.011718,-0.010653,274.218018,-0.015706,-0.394897,-0.683770,0.002359,0.016957,-0.009357
