I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22
171.387955,2.751718,44.895996,0.078517,0.006533,0.382323,0.920664,50.000000,12.000000,0.000030,-0.473474,6.829507,6.843855,0.018109,0.001065,0.000000,47.300041,-0.291114,-0.047971,-0.096133,-0.000042,0.000858,-0.000569
171.387985,2.751354,44.895931,0.078515,0.006536,0.382323,0.920664,50.000000,32.000000,0.000923,-0.401736,6.807986,6.836681,0.002131,-0.004261,-0.001065,47.301003,-0.289642,-0.048344,-0.111598,0.000243,-0.001513,-0.002976
171.388107,2.751047,44.896233,0.078513,0.006538,0.382325,0.920663,50.000000,12.000000,0.000240,-0.444779,6.815159,6.800812,0.005326,0.002131,0.003196,47.302006,-0.291563,-0.063143,-0.138616,-0.000040,0.001185,0.002843
171.387817,2.751181,44.896690,0.078516,0.006538,0.382329,0.920661,50.000000,13.000000,0.000075,-0.451953,6.843855,6.851029,0.002131,0.001065,-0.010653,47.303005,-0.291786,-0.041668,-0.085416,-0.000476,-0.004097,-0.009274
171.387375,2.751626,44.896984,0.078521,0.006536,0.382331,0.920660,50.000000,12.000000,0.000125,-0.466300,6.829507,6.757769,0.019175,-0.001065,0.000000,47.304005,-0.291907,-0.049942,-0.099486,0.000110,0.000619,-0.001348
171.387573,2.751436,44.899010,0.078519,0.006539,0.382347,0.920653,50.000000,12.000000,0.001868,-0.473474,6.872550,6.764943,0.019175,-0.002131,0.015979,47.305004,-0.296968,-0.069286,-0.148066,0.000763,0.006094,0.011911
171.387817,2.750932,44.899105,0.078515,0.006542,0.382348,0.920653,50.000000,32.000000,0.000382,-0.502170,6.793638,6.815159,-0.004261,0.001065,-0.002131,47.306004,-0.289702,-0.065547,-0.132426,-0.000188,-0.001571,-0.001848
171.387222,2.751671,44.898411,0.078522,0.006538,0.382343,0.920655,50.000000,12.000000,0.001623,-0.530865,6.764943,6.858202,0.003196,-0.006392,-0.012783,47.307003,-0.286256,-0.056825,-0.105193,-0.000028,-0.005884,-0.013755
171.386200,2.751740,44.897785,0.078531,0.006540,0.382338,0.920656,50.000000,12.000000,0.000004,-0.459127,6.793638,6.815159,-0.001065,-0.009587,-0.013848,47.308002,-0.289636,-0.062335,-0.133540,0.000144,-0.007058,-0.015691
171.385223,2.751797,44.897594,0.078539,0.006543,0.382336,0.920656,50.000000,12.000000,0.000824,-0.502170,6.836681,6.793638,0.001065,-0.014914,-0.003196,47.309006,-0.294078,-0.059506,-0.118342,0.000909,-0.003939,-0.008536
171.384216,2.752630,44.897770,0.078550,0.006539,0.382338,0.920655,50.000000,13.000000,0.001583,-0.545213,6.829507,6.836681,0.010653,-0.009587,-0.005326,47.310040,-0.291704,-0.055825,-0.100416,0.000489,-0.003174,-0.008701
171.384247,2.752687,44.897984,0.078550,0.006539,0.382340,0.920654,50.000000,32.000000,0.000530,-0.473474,6.772116,6.865376,0.010653,0.001065,0.009587,47.311005,-0.286425,-0.048908,-0.097940,0.000282,0.003679,0.007792
171.384171,2.752243,44.898083,0.078549,0.006543,0.382340,0.920654,50.000000,12.000000,0.000045,-0.451953,6.836681,6.858202,0.006392,-0.007457,0.004261,47.312004,-0.291136,-0.040160,-0.081743,0.000673,0.000206,0.000336
171.384201,2.751595,44.897564,0.078546,0.006548,0.382336,0.920656,50.000000,12.000000,0.001867,-0.408910,6.743421,6.872550,0.015979,0.010653,0.002131,47.313004,-0.283949,-0.045847,-0.103549,-0.000643,0.002885,0.004691
171.385056,2.752295,44.898300,0.078542,0.006540,0.382342,0.920654,50.000000,12.000000,0.000113,-0.487822,6.800812,6.743421,0.018109,0.021305,0.007457,47.314003,-0.290247,-0.080178,-0.175138,-0.001190,0.006517,0.012952
