I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22
5.369344,-0.155931,179.235229,0.006603,0.998880,0.046829,0.001672,50.125000,16.000000,0.000332,0.000000,0.078912,-10.014697,0.017044,0.002131,0.019175,133.457031,-0.032370,0.052053,0.283443,0.000850,0.003285,-0.016329
5.368614,-0.156517,179.235947,0.006596,0.998880,0.046823,0.001677,50.125000,36.000000,0.001792,0.114782,0.150651,-9.978828,0.019175,0.001065,0.002131,133.458054,0.088647,-0.008780,0.249262,0.016523,0.007007,-0.006791
5.368954,-0.156615,179.236206,0.006594,0.998880,0.046826,0.001677,50.125000,16.000000,0.000144,0.050217,0.121955,-10.007524,-0.009587,-0.002131,-0.007457,133.459030,0.021564,0.013900,0.277237,-0.007752,0.002878,0.013274
5.368990,-0.157676,179.236221,0.006593,0.998880,0.046826,0.001687,50.125000,16.000000,0.001346,0.100434,0.107608,-9.935785,0.005326,0.006392,0.027697,133.460068,0.070323,0.031820,0.206278,-0.007573,0.001562,-0.006815
5.367625,-0.158024,179.236115,0.006594,0.998881,0.046814,0.001690,50.125000,12.000000,0.001346,0.000000,0.157825,-9.993176,0.000000,0.007457,0.028762,133.461014,-0.025282,-0.026442,0.263780,-0.004473,-0.007996,-0.027841
5.366730,-0.158215,179.234940,0.006604,0.998881,0.046806,0.001692,50.125000,11.000000,0.000276,-0.007174,0.129129,-10.057740,-0.005326,0.008522,0.009587,133.462006,-0.035408,0.002304,0.327584,-0.009753,-0.009297,-0.008798
5.366792,-0.157817,179.234146,0.006611,0.998881,0.046807,0.001689,50.125000,12.000000,0.000619,0.050217,0.093260,-10.036219,-0.003196,-0.003196,-0.003196,133.463013,-0.038637,-0.035369,0.199676,-0.008775,0.002654,0.003748
5.367092,-0.157600,179.234772,0.006606,0.998881,0.046809,0.001686,50.125000,12.000000,0.000343,-0.007174,0.114782,-9.986002,0.015979,0.003196,-0.004261,133.464005,-0.036354,0.015599,0.255949,0.010907,-0.001864,0.004944
5.367247,-0.156676,179.235443,0.006601,0.998881,0.046811,0.001678,50.125000,32.000000,0.000219,0.007174,0.107608,-9.892742,0.005326,-0.003196,-0.002131,133.465012,-0.022196,0.022715,0.162952,-0.000286,0.003435,0.002714
5.367013,-0.155817,179.234848,0.006606,0.998881,0.046809,0.001671,50.125000,12.000000,0.000297,-0.007174,0.121955,-10.057740,-0.011718,-0.014914,0.006392,133.466003,-0.035656,0.009449,0.326714,-0.018314,0.013323,-0.005953
5.366714,-0.154721,179.234100,0.006613,0.998881,0.046806,0.001662,50.125000,11.000000,0.000533,-0.021522,0.129129,-10.021872,-0.009587,-0.005326,0.002131,133.467010,-0.048951,0.000697,0.290795,-0.015316,0.004097,-0.001587
5.366675,-0.155060,179.234238,0.006612,0.998881,0.046806,0.001664,50.125000,12.000000,0.000263,0.078912,0.164999,-9.978828,0.007457,0.008522,0.004261,133.468002,0.005148,0.035422,0.369057,0.002952,-0.008037,-0.003473
5.366343,-0.155943,179.234497,0.006609,0.998881,0.046803,0.001672,50.125000,12.000000,0.000147,0.050217,0.121955,-9.993176,0.011718,0.004261,0.007457,133.469009,0.021711,0.014020,0.262786,0.006811,-0.003468,-0.006692
5.366247,-0.156014,179.234268,0.006611,0.998881,0.046802,0.001673,50.125000,32.000000,0.000419,-0.014348,0.121955,-10.050567,0.001065,0.013848,0.001065,133.470047,-0.042814,0.008785,0.319637,-0.002928,-0.013858,-0.000245
5.366475,-0.155299,179.234299,0.006611,0.998881,0.046804,0.001667,50.125000,12.000000,0.000624,-0.014348,0.100434,-10.043393,0.004261,-0.012783,-0.003196,133.471008,-0.044665,0.029978,0.311996,-0.002244,0.012831,0.003641
5.366158,-0.155168,179.234589,0.006609,0.998881,0.046801,0.001665,50.125000,12.000000,0.000094,0.014348,0.150651,-10.036219,0.008522,0.005326,0.010653,133.472000,-0.011360,-0.017147,0.305568,0.003740,-0.004861,-0.009861
5.366184,-0.155978,179.234604,0.006608,0.998881,0.046802,0.001672,50.125000,11.000000,0.001922,0.035869,0.114782,-10.014697,-0.005326,0.003196,-0.002131,133.473007,0.075420,0.055099,0.283849,-0.010296,-0.003878,0.002770
5.366560,-0.156233,179.234085,0.006613,0.998881,0.046805,0.001675,50.125000,12.000000,0.000039,0.014348,0.136303,-9.993176,-0.001065,0.011718,-0.001065,133.474014,-0.012722,-0.003446,0.262979,-0.005256,-0.011922,0.001837
5.366450,-0.156731,179.233551,0.006617,0.998881,0.046804,0.001679,50.125000,32.000000,0.000883,0.050217,0.193694,-9.978828,0.014914,0.014914,0.010653,133.475006,0.028298,-0.056954,0.249763,0.010998,-0.013745,-0.009715
5.366132,-0.157183,179.233826,0.006615,0.998881,0.046801,0.001683,50.125000,12.000000,0.000616,0.078912,0.121955,-10.064915,0.003196,-0.001065,0.004261,133.476013,0.049768,0.017726,0.334534,-0.002183,0.001047,-0.003612
5.366080,-0.158175,179.233505,0.006617,0.998881,0.046800,0.001692,50.125000,11.000000,0.001136,0.086086,0.179346,-10.122305,0.006392,0.005326,-0.004261,133.477005,0.061849,-0.037567,0.392640,0.001560,-0.004865,0.004946
5.367005,-0.158079,179.233704,0.006615,0.998881,0.046809,0.001691,50.125000,11.000000,0.000043,-0.007174,0.114782,-9.928611,0.009587,-0.003196,-0.024501,133.478012,-0.013663,0.003502,0.249247,0.003867,0.004123,0.024943
