I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22
179.678268,2.927904,-2.047097,0.002350,-0.025594,-0.017786,0.999511,50.250000,12.000000,0.000342,-0.487822,-0.308476,9.699048,0.006392,0.006392,0.002131,37.388004,0.002303,0.000817,-0.077598,-0.000049,-0.000021,0.001343
179.678375,2.928196,-2.047127,0.002349,-0.025596,-0.017786,0.999511,50.250000,11.000000,0.000168,-0.487822,-0.358693,9.713396,-0.003196,-0.007457,0.014914,37.389004,0.003971,0.001896,-0.141293,-0.000357,-0.000279,0.014606
179.679367,2.927814,-2.047594,0.002340,-0.025593,-0.017790,0.999511,50.250000,11.000000,0.000102,-0.509344,-0.329997,9.699048,-0.008522,-0.008522,0.018109,37.390041,0.002328,0.000752,-0.076663,-0.000440,-0.000351,0.017954
179.679733,2.927481,-2.048079,0.002337,-0.025590,-0.017795,0.999511,50.250000,31.000000,0.000322,-0.466300,-0.365866,9.763613,0.006392,-0.003196,-0.009587,37.391003,0.000769,-0.000283,-0.012620,0.000269,0.000183,-0.010192
179.679260,2.927788,-2.047672,0.002341,-0.025593,-0.017791,0.999511,50.250000,11.000000,0.000484,-0.538039,-0.322823,9.785134,0.010653,0.004261,-0.005326,37.392002,0.000090,-0.000852,0.009944,0.000149,0.000122,-0.006177
179.678574,2.927416,-2.047122,0.002347,-0.025590,-0.017786,0.999512,50.250000,12.000000,0.000782,-0.444779,-0.329997,9.763613,0.015979,0.003196,-0.004261,37.393005,0.000718,-0.000213,-0.013813,0.000127,0.000118,-0.005230
179.678513,2.927637,-2.046566,0.002348,-0.025592,-0.017781,0.999512,50.250000,12.000000,0.000270,-0.509344,-0.329997,9.742091,0.017044,0.013848,0.022371,37.394009,-0.000220,-0.000929,0.022754,-0.000575,-0.000347,0.021159
179.679398,2.927965,-2.046128,0.002340,-0.025594,-0.017778,0.999512,50.250000,12.000000,0.000159,-0.473474,-0.337171,9.720570,0.004261,-0.006392,0.012783,37.395004,0.001815,0.000468,-0.055954,-0.000299,-0.000220,0.012268
179.680237,2.927876,-2.047699,0.002333,-0.025593,-0.017791,0.999511,50.250000,31.000000,0.001525,-0.502170,-0.430431,9.720570,-0.005326,0.008522,0.003196,37.396004,0.001969,0.000361,-0.053553,-0.000088,-0.000072,0.002669
179.679733,2.928444,-2.047762,0.002337,-0.025598,-0.017792,0.999511,50.250000,11.000000,0.000425,-0.494996,-0.301302,9.641657,0.000000,0.004261,-0.007457,37.397003,0.003754,0.001820,-0.134873,0.000197,0.000130,-0.008033
179.679428,2.928699,-2.047880,0.002340,-0.025601,-0.017793,0.999511,50.250000,11.000000,0.000011,-0.502170,-0.344345,9.684700,-0.001065,0.004261,0.001065,37.398003,0.002728,0.001022,-0.090920,-0.000022,-0.000024,0.000508
179.679504,2.928912,-2.047252,0.002339,-0.025603,-0.017787,0.999511,50.250000,12.000000,0.000010,-0.516517,-0.408910,9.699048,0.033023,-0.001065,-0.005326,37.399010,0.003410,0.001360,-0.110958,0.000174,0.000183,-0.006654
179.680252,2.929075,-2.046930,0.002332,-0.025604,-0.017785,0.999511,50.250000,11.000000,0.000954,-0.538039,-0.394562,9.691875,0.004261,-0.002131,0.002131,37.400040,0.002614,0.000780,-0.081941,-0.000034,-0.000030,0.001550
