I3,I4,I5
-0.011718,-0.006392,0.006392
-0.006392,-0.011718,0.005326
0.011718,0.009587,0.017044
0.021305,0.013848,0.010653
0.008522,0.010653,-0.015979
0.005326,-0.005326,-0.003196
-0.001065,-0.004261,-0.002131
0.007457,0.021305,0.021305
-0.006392,0.022371,0.024501
0.004261,-0.001065,-0.010653
0.006392,0.002131,-0.012783
0.004261,0.007457,0.002131
0.002131,0.014914,0.019175
0.014914,-0.02024,-0.019175
0.012783,-0.010653,-0.006392
0.006392,0.009587,0.013848
0.001065,0.013848,0.031958
-0.008522,-0.010653,-0.007457
0.002131,-0.013848,-0.024501
0.026632,0.018109,0
0.013848,-0.002131,-0.004261
0.001065,0.009587,0.009587
0.001065,0.019175,0.003196
0.015979,-0.004261,0.006392
0.010653,0.003196,-0.013848
0.006392,0.013848,0.009587
-0.001065,-0.012783,-0.005326
-0.002131,-0.007457,0.029827
0.004261,0.005326,0.014914
0.013848,0.015979,-0.010653
0.011718,0.017044,-0.008522
0.002131,-0.010653,0.011718
-0.006392,-0.008522,0.013848
-0.012783,-0.003196,-0.015979
0.003196,0.013848,0.001065
0.022371,-0.003196,0.002131
0.004261,0.005326,-0.003196
0.006392,-0.003196,-0.005326
0.006392,0.004261,-0.008522
-0.002131,-0.006392,-0.004261
0.015979,-0.001065,0.010653
0.009587,0.001065,0.004261
0.001065,0.006392,-0.005326
-0.005326,0.006392,-0.001065
0.018109,-0.010653,0.011718
0.021305,-0.003196,0
0.001065,0.013848,-0.008522
0.003196,0.003196,0.010653
0.008522,-0.002131,0.003196
0.005326,-0.013848,-0.013848
0.005326,-0.014914,-0.013848
0.017044,0.008522,-0.008522
-0.002131,0.002131,0.005326
-0.012783,-0.004261,0.009587
0.002131,0.011718,-0.009587
0.012783,-0.004261,-0.012783
0.011718,-0.003196,0.015979
0.004261,-0.013848,0.001065
-0.011718,-0.006392,0.008522
0.021305,0.009587,0.013848
0.006392,0.018109,0.006392
-0.009587,0.009587,-0.004261
0.013848,-0.003196,-0.025566
0.013848,-0.002131,0.006392
0.004261,0.008522,0.018109
-0.003196,0.003196,0.011718
-0.001065,-0.005326,-0.019175
0.012783,-0.001065,-0.018109
0.013848,-0.009587,0.008522
-0.007457,0.018109,0.007457
-0.006392,0.009587,0.010653
0.022371,-0.008522,0
0.004261,-0.005326,-0.002131
-0.018109,-0.007457,-0.001065
-0.003196,0.02024,-0.011718
0.003196,0.015979,0.010653
0.003196,-0.003196,0.013848
0.015979,0.013848,-0.009587
0.006392,0.017044,-0.017044
0.003196,-0.013848,-0.001065
0.006392,-0.004261,0.019175
-0.015979,-0.004261,-0.001065
-0.002131,0.006392,-0.019175
0.019175,0.006392,0.011718
-0.004261,0.010653,0.018109
-0.004261,0.006392,-0.015979
0.02024,-0.013848,-0.031958
0.010653,0,0.003196
0,0.018109,0.014914
0.002131,0.02024,0.009587
-0.001065,-0.003196,-0.008522
0.018109,0.006392,0.008522
0.008522,0.005326,0.005326
-0.001065,0.001065,0.014914
0.007457,-0.005326,-0.003196
0.007457,-0.001065,0.004261
-0.007457,-0.003196,-0.017044
-0.007457,-0.011718,-0.006392
-0.001065,-0.012783,-0.008522
0.007457,0,-0.002131
0.002131,-0.017044,0.019175
0.019175,-0.015979,0.013848
0.024501,0.015979,0
-0.007457,0.010653,0.001065
-0.009587,-0.014914,0.015979
0.001065,0.004261,0.002131
-0.004261,-0.009587,-0.021305
0.012783,-0.008522,-0.015979
0.017044,0.009587,0.011718
0.008522,0.011718,0.008522
0.002131,-0.017044,-0.006392
-0.002131,-0.011718,-0.001065
0.006392,0.010653,0.011718
0.013848,0.007457,0.010653
-0.005326,0.005326,-0.001065
-0.004261,0.007457,-0.005326
0.018109,-0.006392,-0.028762
0.003196,-0.013848,0
-0.007457,0.002131,0.009587
0.012783,0.006392,-0.004261
0.022371,-0.009587,0.001065
0.011718,0.002131,0.010653
-0.009587,-0.002131,-0.021305
0.007457,0.018109,-0.010653
0.006392,-0.011718,-0.008522
0.003196,-0.019175,0.014914
0.011718,0.012783,0.028762
0.015979,-0.005326,0.008522
0.007457,0.005326,-0.002131
0.002131,0.010653,0.008522
0.017044,0.006392,0.003196
0.006392,-0.011718,-0.011718
0.006392,-0.02024,-0.012783
0.007457,0,0.015979
0.004261,0.005326,0.009587
0.011718,0.003196,-0.002131
0.006392,-0.009587,-0.010653
-0.003196,0.004261,-0.008522
0.003196,-0.006392,-0.009587
0,0.007457,0.006392
-0.006392,0.013848,0.017044
0.012783,0.002131,0.010653
0.022371,-0.008522,-0.004261
0.018109,-0.002131,-0.008522
0.005326,0.004261,0
-0.011718,-0.006392,0
0.002131,0.005326,0.010653
-0.003196,0.008522,0.014914
0.003196,0.001065,-0.001065
0.011718,0.012783,-0.008522
0.018109,0.008522,-0.009587
-0.005326,-0.013848,0.017044
0.004261,-0.002131,0.001065
0.033023,0.011718,-0.006392
0.003196,-0.017044,0.003196
0.003196,0.004261,0.007457
-0.002131,0,0.001065
